dataset,model,mean,std,p2_5,p50,p97_5
korbench,DeepSeek-R1-0528-Qwen3-8B,0.553416,0.01800458419074266,0.5179666666666667,0.5533333333333333,0.5887
korbench,Fin-R1,0.3236853333333333,0.016792460693386926,0.28933333333333333,0.32266666666666666,0.35739999999999994
korbench,GLM-Z1-9B-0414,0.5403013333333333,0.017342627588851505,0.5053333333333333,0.54,0.5727
korbench,Intern-S1-mini,0.575824,0.018051440684869923,0.5406333333333333,0.5753333333333333,0.6106666666666667
korbench,Qwen2.5-Coder-7B-Instruct,0.334928,0.017396502948924114,0.30133333333333334,0.336,0.37066666666666664
korbench,Qwen3-8B,0.5313413333333333,0.017118652246356458,0.49866666666666665,0.532,0.5647
korbench,gemma-2-9b-it,0.33405599999999996,0.017551184097877457,0.2986666666666667,0.33466666666666667,0.37066666666666664
korbench,glm-4-9b-chat,0.35748266666666667,0.017852831461209875,0.3233,0.35733333333333334,0.3940333333333333
math500,DeepSeek-R1-0528-Qwen3-8B,0.9469066666666667,0.012898217587044122,0.9233333333333333,0.9466666666666667,0.9717499999999999
math500,Fin-R1,0.7635933333333333,0.02365036931691644,0.72,0.7633333333333333,0.81
math500,GLM-Z1-9B-0414,0.9566733333333333,0.011429742401123726,0.9333333333333333,0.9566666666666667,0.98
math500,Intern-S1-mini,0.9270533333333333,0.014891631103051604,0.8966666666666666,0.9266666666666666,0.9533333333333334
math500,Qwen2.5-Coder-7B-Instruct,0.6734066666666666,0.026316487513155334,0.61825,0.6733333333333333,0.7233333333333334
math500,Qwen3-8B,0.9401866666666666,0.014117261882355184,0.91,0.94,0.9650833333333333
math500,gemma-2-9b-it,0.4981333333333333,0.02714468027689163,0.44333333333333336,0.49666666666666665,0.55
math500,glm-4-9b-chat,0.5325599999999999,0.027111802466810137,0.47825,0.5333333333333333,0.5833333333333334
mbpp,DeepSeek-R1-0528-Qwen3-8B,0.3521643835616438,0.019541834643255183,0.31416952054794517,0.3527397260273973,0.3930222602739726
mbpp,Fin-R1,0.69225,0.018663639316104434,0.6575342465753424,0.6917808219178082,0.7311643835616438
mbpp,GLM-Z1-9B-0414,0.6297260273972602,0.02007835172473361,0.5898544520547945,0.6301369863013698,0.6678082191780822
mbpp,Intern-S1-mini,0.4473767123287671,0.020663162620808605,0.40663527397260274,0.4452054794520548,0.4863013698630137
mbpp,Qwen2.5-Coder-7B-Instruct,0.7603801369863014,0.017189230848960995,0.726027397260274,0.7602739726027398,0.7928082191780822
mbpp,Qwen3-8B,0.5561335616438356,0.021493484034121203,0.5145119863013699,0.5547945205479452,0.598501712328767
mbpp,gemma-2-9b-it,0.6133253424657534,0.019012513262417683,0.5778681506849315,0.613013698630137,0.6506849315068494
mbpp,glm-4-9b-chat,0.6187910958904109,0.01914166461151901,0.5795804794520548,0.6181506849315068,0.6575342465753424
medqa,DeepSeek-R1-0528-Qwen3-8B,0.8099031413612565,0.013771016322834752,0.7840314136125655,0.8102094240837696,0.8357657068062827
medqa,Fin-R1,0.6118507853403141,0.01687315663839164,0.5772251308900523,0.612565445026178,0.6420484293193717
medqa,GLM-Z1-9B-0414,0.7050287958115183,0.01606929462243386,0.6727748691099477,0.7041884816753927,0.7356020942408377
medqa,Intern-S1-mini,0.693824607329843,0.016100748247535945,0.6636125654450262,0.693717277486911,0.7264397905759162
medqa,Qwen2.5-Coder-7B-Instruct,0.47745287958115185,0.018368907821629143,0.4410994764397906,0.47774869109947643,0.5137761780104712
medqa,Qwen3-8B,0.7794633507853403,0.014697622948530234,0.75,0.7787958115183246,0.8075916230366492
medqa,gemma-2-9b-it,0.6359764397905759,0.017511846679772708,0.6034031413612565,0.6361256544502618,0.6701570680628273
medqa,glm-4-9b-chat,0.6076230366492147,0.018696575332242435,0.5739201570680628,0.606020942408377,0.6459751308900523
meld,DeepSeek-R1-0528-Qwen3-8B,0.5197077131258457,0.017664297206779905,0.4864343707713126,0.5196211096075778,0.5541610284167794
meld,Fin-R1,0.5132286874154263,0.018576393232882262,0.47966847090663056,0.5128552097428958,0.5520974289580515
meld,GLM-Z1-9B-0414,0.472254397834912,0.018277492897580405,0.4370771312584574,0.4709066305818674,0.5060893098782138
meld,Intern-S1-mini,0.5092611637347767,0.01766085674416946,0.4749661705006766,0.5087956698240866,0.5412719891745602
meld,Qwen2.5-Coder-7B-Instruct,0.5329174560216509,0.017914705890999492,0.5006765899864682,0.5317997293640054,0.5683355886332883
meld,Qwen3-8B,0.5406468200270637,0.0187641288918405,0.5047361299052774,0.5412719891745602,0.5751014884979703
meld,gemma-2-9b-it,0.5365006765899865,0.018422142851369495,0.5006765899864682,0.5385656292286874,0.5723951285520974
meld,glm-4-9b-chat,0.5546170500676589,0.018500737044094856,0.5182679296346414,0.5548037889039242,0.5899864682002707
