replicate,task,model
13,mmlupro,Llama-3.1-8B-Instruct
13,bbh,NVIDIA-Nemotron-Nano-9B-v2
13,medqa,Llama-3.1-8B-UltraMedical
13,korbench,Qwen2.5-Coder-7B-Instruct
13,meld,gemma-2-9b-it
13,livecodebench,Qwen3-8B
13,finqa,Fin-R1
13,math500,DeepSeek-R1-0528-Qwen3-8B
14,meld,Qwen2.5-Coder-7B-Instruct
14,bbh,NVIDIA-Nemotron-Nano-9B-v2
14,medqa,Llama-3.1-8B-UltraMedical
14,mmlupro,gemma-2-9b-it
14,korbench,Llama-3.1-8B-Instruct
14,livecodebench,Qwen3-8B
14,finqa,Fin-R1
14,math500,DeepSeek-R1-0528-Qwen3-8B
15,medqa,Llama-3.1-8B-Instruct
15,bbh,DeepSeek-R1-0528-Qwen3-8B
15,korbench,Qwen2.5-Coder-7B-Instruct
15,meld,gemma-2-9b-it
15,livecodebench,Qwen3-8B
15,math500,NVIDIA-Nemotron-Nano-9B-v2
15,finqa,Fin-R1
15,mmlupro,Llama-3.1-8B-UltraMedical
16,meld,Qwen2.5-Coder-7B-Instruct
16,medqa,Llama-3.1-8B-UltraMedical
16,mmlupro,gemma-2-9b-it
16,bbh,DeepSeek-R1-0528-Qwen3-8B
16,korbench,Llama-3.1-8B-Instruct
16,livecodebench,Qwen3-8B
16,math500,NVIDIA-Nemotron-Nano-9B-v2
16,finqa,Fin-R1
17,bbh,NVIDIA-Nemotron-Nano-9B-v2
17,medqa,Llama-3.1-8B-Instruct
17,korbench,Qwen2.5-Coder-7B-Instruct
17,meld,gemma-2-9b-it
17,livecodebench,Qwen3-8B
17,finqa,Fin-R1
17,mmlupro,Llama-3.1-8B-UltraMedical
17,math500,DeepSeek-R1-0528-Qwen3-8B
18,mmlupro,Llama-3.1-8B-Instruct
18,medqa,Llama-3.1-8B-UltraMedical
18,bbh,DeepSeek-R1-0528-Qwen3-8B
18,korbench,Qwen2.5-Coder-7B-Instruct
18,meld,gemma-2-9b-it
18,livecodebench,Qwen3-8B
18,math500,NVIDIA-Nemotron-Nano-9B-v2
18,finqa,Fin-R1
19,bbh,NVIDIA-Nemotron-Nano-9B-v2
19,medqa,Llama-3.1-8B-Instruct
19,korbench,Qwen2.5-Coder-7B-Instruct
19,meld,gemma-2-9b-it
19,livecodebench,Qwen3-8B
19,finqa,Fin-R1
19,mmlupro,Llama-3.1-8B-UltraMedical
19,math500,DeepSeek-R1-0528-Qwen3-8B
20,medqa,Llama-3.1-8B-Instruct
20,bbh,DeepSeek-R1-0528-Qwen3-8B
20,korbench,Qwen2.5-Coder-7B-Instruct
20,meld,gemma-2-9b-it
20,livecodebench,Qwen3-8B
20,math500,NVIDIA-Nemotron-Nano-9B-v2
20,finqa,Fin-R1
20,mmlupro,Llama-3.1-8B-UltraMedical
21,bbh,NVIDIA-Nemotron-Nano-9B-v2
21,medqa,Llama-3.1-8B-Instruct
21,korbench,Qwen2.5-Coder-7B-Instruct
21,meld,gemma-2-9b-it
21,livecodebench,Qwen3-8B
21,finqa,Fin-R1
21,mmlupro,Llama-3.1-8B-UltraMedical
21,math500,DeepSeek-R1-0528-Qwen3-8B
22,medqa,Llama-3.1-8B-Instruct
22,bbh,Qwen3-8B
22,korbench,Qwen2.5-Coder-7B-Instruct
22,meld,gemma-2-9b-it
22,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
22,finqa,Fin-R1
22,mmlupro,Llama-3.1-8B-UltraMedical
22,math500,DeepSeek-R1-0528-Qwen3-8B
23,meld,Qwen2.5-Coder-7B-Instruct
23,medqa,Llama-3.1-8B-UltraMedical
23,mmlupro,gemma-2-9b-it
23,bbh,DeepSeek-R1-0528-Qwen3-8B
23,korbench,Llama-3.1-8B-Instruct
23,livecodebench,Qwen3-8B
23,math500,NVIDIA-Nemotron-Nano-9B-v2
23,finqa,Fin-R1
24,mmlupro,Llama-3.1-8B-Instruct
24,bbh,NVIDIA-Nemotron-Nano-9B-v2
24,medqa,Llama-3.1-8B-UltraMedical
24,korbench,Qwen2.5-Coder-7B-Instruct
24,meld,gemma-2-9b-it
24,livecodebench,Qwen3-8B
24,finqa,Fin-R1
24,math500,DeepSeek-R1-0528-Qwen3-8B
25,meld,Qwen2.5-Coder-7B-Instruct
25,medqa,Llama-3.1-8B-UltraMedical
25,mmlupro,gemma-2-9b-it
25,bbh,DeepSeek-R1-0528-Qwen3-8B
25,korbench,Llama-3.1-8B-Instruct
25,livecodebench,Qwen3-8B
25,math500,NVIDIA-Nemotron-Nano-9B-v2
25,finqa,Fin-R1
26,meld,Qwen2.5-Coder-7B-Instruct
26,bbh,NVIDIA-Nemotron-Nano-9B-v2
26,medqa,Llama-3.1-8B-Instruct
26,mmlupro,gemma-2-9b-it
26,korbench,Llama-3.1-8B-UltraMedical
26,livecodebench,Qwen3-8B
26,finqa,Fin-R1
26,math500,DeepSeek-R1-0528-Qwen3-8B
27,mmlupro,Llama-3.1-8B-Instruct
27,medqa,Llama-3.1-8B-UltraMedical
27,bbh,DeepSeek-R1-0528-Qwen3-8B
27,korbench,Qwen2.5-Coder-7B-Instruct
27,meld,gemma-2-9b-it
27,livecodebench,Qwen3-8B
27,math500,NVIDIA-Nemotron-Nano-9B-v2
27,finqa,Fin-R1
28,medqa,Llama-3.1-8B-Instruct
28,meld,gemma-2-9b-it
28,bbh,Qwen2.5-Coder-7B-Instruct
28,livecodebench,Qwen3-8B
28,finqa,Fin-R1
28,mmlupro,Llama-3.1-8B-UltraMedical
28,korbench,NVIDIA-Nemotron-Nano-9B-v2
28,math500,DeepSeek-R1-0528-Qwen3-8B
29,mmlupro,Llama-3.1-8B-Instruct
29,bbh,NVIDIA-Nemotron-Nano-9B-v2
29,medqa,Llama-3.1-8B-UltraMedical
29,finqa,Qwen2.5-Coder-7B-Instruct
29,meld,gemma-2-9b-it
29,livecodebench,Qwen3-8B
29,korbench,Fin-R1
29,math500,DeepSeek-R1-0528-Qwen3-8B
30,meld,Qwen2.5-Coder-7B-Instruct
30,medqa,Llama-3.1-8B-Instruct
30,mmlupro,gemma-2-9b-it
30,bbh,DeepSeek-R1-0528-Qwen3-8B
30,korbench,Llama-3.1-8B-UltraMedical
30,livecodebench,Qwen3-8B
30,math500,NVIDIA-Nemotron-Nano-9B-v2
30,finqa,Fin-R1
31,meld,Qwen2.5-Coder-7B-Instruct
31,medqa,Llama-3.1-8B-Instruct
31,mmlupro,gemma-2-9b-it
31,bbh,Llama-3.1-8B-UltraMedical
31,livecodebench,Qwen3-8B
31,finqa,Fin-R1
31,math500,DeepSeek-R1-0528-Qwen3-8B
31,korbench,NVIDIA-Nemotron-Nano-9B-v2
32,mmlupro,Qwen2.5-Coder-7B-Instruct
32,medqa,Llama-3.1-8B-UltraMedical
32,meld,gemma-2-9b-it
32,livecodebench,Qwen3-8B
32,bbh,Llama-3.1-8B-Instruct
32,finqa,Fin-R1
32,math500,DeepSeek-R1-0528-Qwen3-8B
32,korbench,NVIDIA-Nemotron-Nano-9B-v2
33,mmlupro,Llama-3.1-8B-Instruct
33,bbh,NVIDIA-Nemotron-Nano-9B-v2
33,medqa,Llama-3.1-8B-UltraMedical
33,korbench,Qwen2.5-Coder-7B-Instruct
33,meld,gemma-2-9b-it
33,livecodebench,Qwen3-8B
33,finqa,Fin-R1
33,math500,DeepSeek-R1-0528-Qwen3-8B
34,mmlupro,Llama-3.1-8B-Instruct
34,meld,Qwen2.5-Coder-7B-Instruct
34,bbh,NVIDIA-Nemotron-Nano-9B-v2
34,medqa,Llama-3.1-8B-UltraMedical
34,livecodebench,Qwen3-8B
34,finqa,Fin-R1
34,korbench,gemma-2-9b-it
34,math500,DeepSeek-R1-0528-Qwen3-8B
35,mmlupro,Llama-3.1-8B-Instruct
35,bbh,NVIDIA-Nemotron-Nano-9B-v2
35,medqa,Llama-3.1-8B-UltraMedical
35,korbench,Qwen2.5-Coder-7B-Instruct
35,meld,gemma-2-9b-it
35,livecodebench,Qwen3-8B
35,finqa,Fin-R1
35,math500,DeepSeek-R1-0528-Qwen3-8B
36,meld,Qwen2.5-Coder-7B-Instruct
36,bbh,NVIDIA-Nemotron-Nano-9B-v2
36,medqa,Llama-3.1-8B-Instruct
36,mmlupro,gemma-2-9b-it
36,korbench,Llama-3.1-8B-UltraMedical
36,livecodebench,Qwen3-8B
36,finqa,Fin-R1
36,math500,DeepSeek-R1-0528-Qwen3-8B
37,mmlupro,Llama-3.1-8B-Instruct
37,meld,Qwen2.5-Coder-7B-Instruct
37,medqa,Llama-3.1-8B-UltraMedical
37,bbh,DeepSeek-R1-0528-Qwen3-8B
37,livecodebench,Qwen3-8B
37,math500,NVIDIA-Nemotron-Nano-9B-v2
37,finqa,Fin-R1
37,korbench,gemma-2-9b-it
38,mmlupro,Llama-3.1-8B-Instruct
38,bbh,NVIDIA-Nemotron-Nano-9B-v2
38,medqa,Llama-3.1-8B-UltraMedical
38,korbench,Qwen2.5-Coder-7B-Instruct
38,meld,gemma-2-9b-it
38,livecodebench,Qwen3-8B
38,finqa,Fin-R1
38,math500,DeepSeek-R1-0528-Qwen3-8B
39,bbh,NVIDIA-Nemotron-Nano-9B-v2
39,medqa,Llama-3.1-8B-Instruct
39,korbench,Qwen2.5-Coder-7B-Instruct
39,meld,gemma-2-9b-it
39,livecodebench,Qwen3-8B
39,finqa,Fin-R1
39,mmlupro,Llama-3.1-8B-UltraMedical
39,math500,DeepSeek-R1-0528-Qwen3-8B
40,mmlupro,Llama-3.1-8B-Instruct
40,bbh,NVIDIA-Nemotron-Nano-9B-v2
40,medqa,Llama-3.1-8B-UltraMedical
40,korbench,Qwen2.5-Coder-7B-Instruct
40,meld,gemma-2-9b-it
40,livecodebench,Qwen3-8B
40,finqa,Fin-R1
40,math500,DeepSeek-R1-0528-Qwen3-8B
41,medqa,Llama-3.1-8B-Instruct
41,bbh,DeepSeek-R1-0528-Qwen3-8B
41,korbench,Qwen2.5-Coder-7B-Instruct
41,meld,gemma-2-9b-it
41,livecodebench,Qwen3-8B
41,math500,NVIDIA-Nemotron-Nano-9B-v2
41,finqa,Fin-R1
41,mmlupro,Llama-3.1-8B-UltraMedical
42,meld,Qwen2.5-Coder-7B-Instruct
42,medqa,Llama-3.1-8B-UltraMedical
42,mmlupro,gemma-2-9b-it
42,bbh,DeepSeek-R1-0528-Qwen3-8B
42,korbench,Llama-3.1-8B-Instruct
42,livecodebench,Qwen3-8B
42,math500,NVIDIA-Nemotron-Nano-9B-v2
42,finqa,Fin-R1
43,mmlupro,Llama-3.1-8B-Instruct
43,bbh,NVIDIA-Nemotron-Nano-9B-v2
43,medqa,Llama-3.1-8B-UltraMedical
43,korbench,Qwen2.5-Coder-7B-Instruct
43,meld,gemma-2-9b-it
43,livecodebench,Qwen3-8B
43,finqa,Fin-R1
43,math500,DeepSeek-R1-0528-Qwen3-8B
44,medqa,Llama-3.1-8B-Instruct
44,meld,gemma-2-9b-it
44,bbh,Qwen2.5-Coder-7B-Instruct
44,livecodebench,Qwen3-8B
44,finqa,Fin-R1
44,mmlupro,Llama-3.1-8B-UltraMedical
44,korbench,NVIDIA-Nemotron-Nano-9B-v2
44,math500,DeepSeek-R1-0528-Qwen3-8B
45,bbh,NVIDIA-Nemotron-Nano-9B-v2
45,medqa,Llama-3.1-8B-Instruct
45,korbench,Qwen2.5-Coder-7B-Instruct
45,meld,gemma-2-9b-it
45,livecodebench,Qwen3-8B
45,finqa,Fin-R1
45,mmlupro,Llama-3.1-8B-UltraMedical
45,math500,DeepSeek-R1-0528-Qwen3-8B
46,meld,Qwen2.5-Coder-7B-Instruct
46,medqa,Llama-3.1-8B-Instruct
46,mmlupro,gemma-2-9b-it
46,bbh,DeepSeek-R1-0528-Qwen3-8B
46,korbench,Llama-3.1-8B-UltraMedical
46,livecodebench,Qwen3-8B
46,math500,NVIDIA-Nemotron-Nano-9B-v2
46,finqa,Fin-R1
47,mmlupro,Llama-3.1-8B-Instruct
47,bbh,NVIDIA-Nemotron-Nano-9B-v2
47,medqa,Llama-3.1-8B-UltraMedical
47,korbench,Qwen2.5-Coder-7B-Instruct
47,meld,gemma-2-9b-it
47,livecodebench,Qwen3-8B
47,finqa,Fin-R1
47,math500,DeepSeek-R1-0528-Qwen3-8B
48,mmlupro,Llama-3.1-8B-Instruct
48,medqa,Llama-3.1-8B-UltraMedical
48,bbh,DeepSeek-R1-0528-Qwen3-8B
48,korbench,Qwen2.5-Coder-7B-Instruct
48,meld,gemma-2-9b-it
48,livecodebench,Qwen3-8B
48,math500,NVIDIA-Nemotron-Nano-9B-v2
48,finqa,Fin-R1
49,mmlupro,Llama-3.1-8B-Instruct
49,medqa,Llama-3.1-8B-UltraMedical
49,bbh,DeepSeek-R1-0528-Qwen3-8B
49,korbench,Qwen2.5-Coder-7B-Instruct
49,meld,gemma-2-9b-it
49,livecodebench,Qwen3-8B
49,math500,NVIDIA-Nemotron-Nano-9B-v2
49,finqa,Fin-R1
50,meld,Qwen2.5-Coder-7B-Instruct
50,medqa,Llama-3.1-8B-Instruct
50,mmlupro,gemma-2-9b-it
50,bbh,DeepSeek-R1-0528-Qwen3-8B
50,korbench,Llama-3.1-8B-UltraMedical
50,livecodebench,Qwen3-8B
50,math500,NVIDIA-Nemotron-Nano-9B-v2
50,finqa,Fin-R1
51,mmlupro,Llama-3.1-8B-Instruct
51,medqa,Llama-3.1-8B-UltraMedical
51,bbh,DeepSeek-R1-0528-Qwen3-8B
51,korbench,Qwen2.5-Coder-7B-Instruct
51,meld,gemma-2-9b-it
51,livecodebench,Qwen3-8B
51,math500,NVIDIA-Nemotron-Nano-9B-v2
51,finqa,Fin-R1
52,meld,Qwen2.5-Coder-7B-Instruct
52,medqa,Llama-3.1-8B-Instruct
52,mmlupro,gemma-2-9b-it
52,bbh,DeepSeek-R1-0528-Qwen3-8B
52,korbench,Llama-3.1-8B-UltraMedical
52,livecodebench,Qwen3-8B
52,math500,NVIDIA-Nemotron-Nano-9B-v2
52,finqa,Fin-R1
53,medqa,Llama-3.1-8B-Instruct
53,bbh,Qwen3-8B
53,korbench,Qwen2.5-Coder-7B-Instruct
53,meld,gemma-2-9b-it
53,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
53,finqa,Fin-R1
53,mmlupro,Llama-3.1-8B-UltraMedical
53,math500,DeepSeek-R1-0528-Qwen3-8B
54,medqa,Llama-3.1-8B-Instruct
54,bbh,DeepSeek-R1-0528-Qwen3-8B
54,korbench,Qwen2.5-Coder-7B-Instruct
54,meld,gemma-2-9b-it
54,livecodebench,Qwen3-8B
54,math500,NVIDIA-Nemotron-Nano-9B-v2
54,finqa,Fin-R1
54,mmlupro,Llama-3.1-8B-UltraMedical
55,medqa,Llama-3.1-8B-Instruct
55,bbh,DeepSeek-R1-0528-Qwen3-8B
55,math500,Qwen3-8B
55,korbench,Qwen2.5-Coder-7B-Instruct
55,meld,gemma-2-9b-it
55,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
55,finqa,Fin-R1
55,mmlupro,Llama-3.1-8B-UltraMedical
56,meld,Qwen2.5-Coder-7B-Instruct
56,bbh,NVIDIA-Nemotron-Nano-9B-v2
56,medqa,Llama-3.1-8B-UltraMedical
56,mmlupro,gemma-2-9b-it
56,korbench,Llama-3.1-8B-Instruct
56,livecodebench,Qwen3-8B
56,finqa,Fin-R1
56,math500,DeepSeek-R1-0528-Qwen3-8B
57,medqa,Llama-3.1-8B-Instruct
57,bbh,DeepSeek-R1-0528-Qwen3-8B
57,korbench,Qwen2.5-Coder-7B-Instruct
57,meld,gemma-2-9b-it
57,livecodebench,Qwen3-8B
57,math500,NVIDIA-Nemotron-Nano-9B-v2
57,finqa,Fin-R1
57,mmlupro,Llama-3.1-8B-UltraMedical
58,meld,Qwen2.5-Coder-7B-Instruct
58,bbh,NVIDIA-Nemotron-Nano-9B-v2
58,medqa,Llama-3.1-8B-UltraMedical
58,mmlupro,gemma-2-9b-it
58,korbench,Llama-3.1-8B-Instruct
58,livecodebench,Qwen3-8B
58,finqa,Fin-R1
58,math500,DeepSeek-R1-0528-Qwen3-8B
59,medqa,Llama-3.1-8B-Instruct
59,bbh,DeepSeek-R1-0528-Qwen3-8B
59,korbench,Qwen2.5-Coder-7B-Instruct
59,meld,gemma-2-9b-it
59,livecodebench,Qwen3-8B
59,math500,NVIDIA-Nemotron-Nano-9B-v2
59,finqa,Fin-R1
59,mmlupro,Llama-3.1-8B-UltraMedical
60,meld,Qwen2.5-Coder-7B-Instruct
60,bbh,NVIDIA-Nemotron-Nano-9B-v2
60,medqa,Llama-3.1-8B-Instruct
60,mmlupro,gemma-2-9b-it
60,korbench,Llama-3.1-8B-UltraMedical
60,livecodebench,Qwen3-8B
60,finqa,Fin-R1
60,math500,DeepSeek-R1-0528-Qwen3-8B
61,meld,Qwen2.5-Coder-7B-Instruct
61,bbh,NVIDIA-Nemotron-Nano-9B-v2
61,medqa,Llama-3.1-8B-UltraMedical
61,mmlupro,gemma-2-9b-it
61,korbench,Llama-3.1-8B-Instruct
61,livecodebench,Qwen3-8B
61,finqa,Fin-R1
61,math500,DeepSeek-R1-0528-Qwen3-8B
62,mmlupro,Llama-3.1-8B-Instruct
62,medqa,Llama-3.1-8B-UltraMedical
62,bbh,DeepSeek-R1-0528-Qwen3-8B
62,korbench,Qwen2.5-Coder-7B-Instruct
62,meld,gemma-2-9b-it
62,livecodebench,Qwen3-8B
62,math500,NVIDIA-Nemotron-Nano-9B-v2
62,finqa,Fin-R1
63,meld,Qwen2.5-Coder-7B-Instruct
63,medqa,Llama-3.1-8B-Instruct
63,mmlupro,gemma-2-9b-it
63,bbh,DeepSeek-R1-0528-Qwen3-8B
63,korbench,Llama-3.1-8B-UltraMedical
63,livecodebench,Qwen3-8B
63,math500,NVIDIA-Nemotron-Nano-9B-v2
63,finqa,Fin-R1
64,meld,Qwen2.5-Coder-7B-Instruct
64,medqa,Llama-3.1-8B-UltraMedical
64,mmlupro,gemma-2-9b-it
64,bbh,DeepSeek-R1-0528-Qwen3-8B
64,korbench,Llama-3.1-8B-Instruct
64,livecodebench,Qwen3-8B
64,math500,NVIDIA-Nemotron-Nano-9B-v2
64,finqa,Fin-R1
65,meld,Qwen2.5-Coder-7B-Instruct
65,bbh,NVIDIA-Nemotron-Nano-9B-v2
65,medqa,Llama-3.1-8B-Instruct
65,mmlupro,gemma-2-9b-it
65,korbench,Llama-3.1-8B-UltraMedical
65,livecodebench,Qwen3-8B
65,finqa,Fin-R1
65,math500,DeepSeek-R1-0528-Qwen3-8B
66,meld,Qwen2.5-Coder-7B-Instruct
66,medqa,Llama-3.1-8B-Instruct
66,mmlupro,gemma-2-9b-it
66,bbh,DeepSeek-R1-0528-Qwen3-8B
66,korbench,Llama-3.1-8B-UltraMedical
66,livecodebench,Qwen3-8B
66,math500,NVIDIA-Nemotron-Nano-9B-v2
66,finqa,Fin-R1
67,mmlupro,Llama-3.1-8B-Instruct
67,bbh,NVIDIA-Nemotron-Nano-9B-v2
67,medqa,Llama-3.1-8B-UltraMedical
67,korbench,Qwen2.5-Coder-7B-Instruct
67,meld,gemma-2-9b-it
67,livecodebench,Qwen3-8B
67,finqa,Fin-R1
67,math500,DeepSeek-R1-0528-Qwen3-8B
68,mmlupro,Qwen2.5-Coder-7B-Instruct
68,medqa,Llama-3.1-8B-Instruct
68,meld,gemma-2-9b-it
68,bbh,Llama-3.1-8B-UltraMedical
68,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
68,finqa,Fin-R1
68,math500,DeepSeek-R1-0528-Qwen3-8B
68,korbench,Qwen3-8B
69,meld,Qwen2.5-Coder-7B-Instruct
69,medqa,Llama-3.1-8B-Instruct
69,mmlupro,gemma-2-9b-it
69,bbh,DeepSeek-R1-0528-Qwen3-8B
69,korbench,Llama-3.1-8B-UltraMedical
69,livecodebench,Qwen3-8B
69,math500,NVIDIA-Nemotron-Nano-9B-v2
69,finqa,Fin-R1
70,medqa,Llama-3.1-8B-Instruct
70,bbh,DeepSeek-R1-0528-Qwen3-8B
70,korbench,Qwen2.5-Coder-7B-Instruct
70,meld,gemma-2-9b-it
70,livecodebench,Qwen3-8B
70,math500,NVIDIA-Nemotron-Nano-9B-v2
70,finqa,Fin-R1
70,mmlupro,Llama-3.1-8B-UltraMedical
71,mmlupro,Llama-3.1-8B-Instruct
71,medqa,Llama-3.1-8B-UltraMedical
71,bbh,DeepSeek-R1-0528-Qwen3-8B
71,korbench,Qwen2.5-Coder-7B-Instruct
71,meld,gemma-2-9b-it
71,livecodebench,Qwen3-8B
71,math500,NVIDIA-Nemotron-Nano-9B-v2
71,finqa,Fin-R1
72,meld,Qwen2.5-Coder-7B-Instruct
72,medqa,Llama-3.1-8B-UltraMedical
72,mmlupro,gemma-2-9b-it
72,bbh,DeepSeek-R1-0528-Qwen3-8B
72,math500,Qwen3-8B
72,korbench,Llama-3.1-8B-Instruct
72,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
72,finqa,Fin-R1
73,meld,Qwen2.5-Coder-7B-Instruct
73,medqa,Llama-3.1-8B-Instruct
73,mmlupro,gemma-2-9b-it
73,bbh,Llama-3.1-8B-UltraMedical
73,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
73,finqa,Fin-R1
73,math500,DeepSeek-R1-0528-Qwen3-8B
73,korbench,Qwen3-8B
74,meld,Qwen2.5-Coder-7B-Instruct
74,bbh,NVIDIA-Nemotron-Nano-9B-v2
74,medqa,Llama-3.1-8B-UltraMedical
74,mmlupro,gemma-2-9b-it
74,korbench,Llama-3.1-8B-Instruct
74,livecodebench,Qwen3-8B
74,finqa,Fin-R1
74,math500,DeepSeek-R1-0528-Qwen3-8B
75,medqa,Llama-3.1-8B-Instruct
75,bbh,Qwen3-8B
75,korbench,Qwen2.5-Coder-7B-Instruct
75,meld,gemma-2-9b-it
75,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
75,finqa,Fin-R1
75,mmlupro,Llama-3.1-8B-UltraMedical
75,math500,DeepSeek-R1-0528-Qwen3-8B
76,meld,Qwen2.5-Coder-7B-Instruct
76,medqa,Llama-3.1-8B-Instruct
76,mmlupro,gemma-2-9b-it
76,bbh,DeepSeek-R1-0528-Qwen3-8B
76,math500,Qwen3-8B
76,korbench,Llama-3.1-8B-UltraMedical
76,livecodebench,NVIDIA-Nemotron-Nano-9B-v2
76,finqa,Fin-R1
77,medqa,Llama-3.1-8B-Instruct
77,bbh,DeepSeek-R1-0528-Qwen3-8B
77,korbench,Qwen2.5-Coder-7B-Instruct
77,meld,gemma-2-9b-it
77,livecodebench,Qwen3-8B
77,math500,NVIDIA-Nemotron-Nano-9B-v2
77,finqa,Fin-R1
77,mmlupro,Llama-3.1-8B-UltraMedical
78,medqa,Llama-3.1-8B-Instruct
78,bbh,DeepSeek-R1-0528-Qwen3-8B
78,korbench,Qwen2.5-Coder-7B-Instruct
78,meld,gemma-2-9b-it
78,livecodebench,Qwen3-8B
78,math500,NVIDIA-Nemotron-Nano-9B-v2
78,finqa,Fin-R1
78,mmlupro,Llama-3.1-8B-UltraMedical
79,meld,Qwen2.5-Coder-7B-Instruct
79,medqa,Llama-3.1-8B-UltraMedical
79,mmlupro,gemma-2-9b-it
