replicate,task,model
16,livecodebench,Llama-3.1-8B-UltraMedical
16,math500,NVIDIA-Nemotron-Nano-9B-v2
16,korbench,Llama-3.1-8B-Instruct
16,meld,Qwen2.5-Coder-7B-Instruct
16,finqa,Fin-R1
16,bbh,DeepSeek-R1-0528-Qwen3-8B
16,medqa,Qwen3-8B
17,mmlupro,gemma-2-9b-it
17,livecodebench,Llama-3.1-8B-UltraMedical
17,math500,DeepSeek-R1-0528-Qwen3-8B
17,bbh,NVIDIA-Nemotron-Nano-9B-v2
17,korbench,Llama-3.1-8B-Instruct
17,meld,Qwen2.5-Coder-7B-Instruct
17,finqa,Fin-R1
17,medqa,Qwen3-8B
18,mmlupro,Llama-3.1-8B-Instruct
18,korbench,Qwen2.5-Coder-7B-Instruct
18,livecodebench,Llama-3.1-8B-UltraMedical
18,math500,NVIDIA-Nemotron-Nano-9B-v2
18,meld,gemma-2-9b-it
18,bbh,DeepSeek-R1-0528-Qwen3-8B
18,finqa,Fin-R1
18,medqa,Qwen3-8B
19,mmlupro,gemma-2-9b-it
19,livecodebench,Llama-3.1-8B-UltraMedical
19,math500,DeepSeek-R1-0528-Qwen3-8B
19,bbh,NVIDIA-Nemotron-Nano-9B-v2
19,korbench,Llama-3.1-8B-Instruct
19,meld,Qwen2.5-Coder-7B-Instruct
19,finqa,Fin-R1
19,medqa,Qwen3-8B
20,mmlupro,gemma-2-9b-it
20,livecodebench,Llama-3.1-8B-UltraMedical
20,math500,DeepSeek-R1-0528-Qwen3-8B
20,bbh,NVIDIA-Nemotron-Nano-9B-v2
20,korbench,Llama-3.1-8B-Instruct
20,meld,Qwen2.5-Coder-7B-Instruct
20,finqa,Fin-R1
20,medqa,Qwen3-8B
21,mmlupro,Llama-3.1-8B-Instruct
21,medqa,Qwen3-8B
21,livecodebench,Llama-3.1-8B-UltraMedical
21,meld,gemma-2-9b-it
21,math500,DeepSeek-R1-0528-Qwen3-8B
21,bbh,NVIDIA-Nemotron-Nano-9B-v2
21,finqa,Fin-R1
21,korbench,Qwen2.5-Coder-7B-Instruct
22,mmlupro,gemma-2-9b-it
22,livecodebench,Llama-3.1-8B-UltraMedical
22,math500,DeepSeek-R1-0528-Qwen3-8B
22,bbh,NVIDIA-Nemotron-Nano-9B-v2
22,korbench,Llama-3.1-8B-Instruct
22,meld,Qwen2.5-Coder-7B-Instruct
22,finqa,Fin-R1
22,medqa,Qwen3-8B
23,mmlupro,gemma-2-9b-it
23,livecodebench,Llama-3.1-8B-UltraMedical
23,math500,DeepSeek-R1-0528-Qwen3-8B
23,bbh,NVIDIA-Nemotron-Nano-9B-v2
23,korbench,Llama-3.1-8B-Instruct
23,meld,Qwen2.5-Coder-7B-Instruct
23,finqa,Fin-R1
23,medqa,Qwen3-8B
24,mmlupro,NVIDIA-Nemotron-Nano-9B-v2
24,math500,Qwen3-8B
24,medqa,Llama-3.1-8B-UltraMedical
24,meld,gemma-2-9b-it
24,livecodebench,Qwen2.5-Coder-7B-Instruct
24,korbench,Llama-3.1-8B-Instruct
24,bbh,DeepSeek-R1-0528-Qwen3-8B
24,finqa,Fin-R1
25,mmlupro,gemma-2-9b-it
25,livecodebench,Llama-3.1-8B-UltraMedical
25,math500,NVIDIA-Nemotron-Nano-9B-v2
25,korbench,Llama-3.1-8B-Instruct
25,meld,Qwen2.5-Coder-7B-Instruct
25,finqa,Fin-R1
25,bbh,DeepSeek-R1-0528-Qwen3-8B
25,medqa,Qwen3-8B
26,mmlupro,gemma-2-9b-it
26,livecodebench,Llama-3.1-8B-UltraMedical
26,math500,DeepSeek-R1-0528-Qwen3-8B
26,bbh,NVIDIA-Nemotron-Nano-9B-v2
26,korbench,Llama-3.1-8B-Instruct
26,meld,Qwen2.5-Coder-7B-Instruct
26,finqa,Fin-R1
26,medqa,Qwen3-8B
27,mmlupro,gemma-2-9b-it
27,finqa,NVIDIA-Nemotron-Nano-9B-v2
27,livecodebench,Llama-3.1-8B-Instruct
27,math500,Qwen3-8B
27,korbench,Fin-R1
27,medqa,Llama-3.1-8B-UltraMedical
27,meld,Qwen2.5-Coder-7B-Instruct
27,bbh,DeepSeek-R1-0528-Qwen3-8B
28,mmlupro,Llama-3.1-8B-Instruct
28,medqa,Qwen3-8B
28,livecodebench,Llama-3.1-8B-UltraMedical
28,meld,gemma-2-9b-it
28,math500,DeepSeek-R1-0528-Qwen3-8B
28,bbh,NVIDIA-Nemotron-Nano-9B-v2
28,finqa,Fin-R1
28,korbench,Qwen2.5-Coder-7B-Instruct
29,finqa,Qwen2.5-Coder-7B-Instruct
29,livecodebench,Llama-3.1-8B-UltraMedical
29,meld,gemma-2-9b-it
29,math500,DeepSeek-R1-0528-Qwen3-8B
29,bbh,NVIDIA-Nemotron-Nano-9B-v2
29,korbench,Llama-3.1-8B-Instruct
29,mmlupro,Fin-R1
29,medqa,Qwen3-8B
30,mmlupro,gemma-2-9b-it
30,livecodebench,Llama-3.1-8B-UltraMedical
30,math500,DeepSeek-R1-0528-Qwen3-8B
30,bbh,NVIDIA-Nemotron-Nano-9B-v2
30,korbench,Llama-3.1-8B-Instruct
30,meld,Qwen2.5-Coder-7B-Instruct
30,finqa,Fin-R1
30,medqa,Qwen3-8B
31,mmlupro,gemma-2-9b-it
31,livecodebench,Llama-3.1-8B-UltraMedical
31,math500,DeepSeek-R1-0528-Qwen3-8B
31,bbh,NVIDIA-Nemotron-Nano-9B-v2
31,korbench,Llama-3.1-8B-Instruct
31,meld,Qwen2.5-Coder-7B-Instruct
31,finqa,Fin-R1
31,medqa,Qwen3-8B
32,mmlupro,gemma-2-9b-it
32,livecodebench,Llama-3.1-8B-UltraMedical
32,math500,DeepSeek-R1-0528-Qwen3-8B
32,bbh,NVIDIA-Nemotron-Nano-9B-v2
32,korbench,Llama-3.1-8B-Instruct
32,meld,Qwen2.5-Coder-7B-Instruct
32,finqa,Fin-R1
32,medqa,Qwen3-8B
33,mmlupro,gemma-2-9b-it
33,livecodebench,Llama-3.1-8B-UltraMedical
33,math500,DeepSeek-R1-0528-Qwen3-8B
33,bbh,NVIDIA-Nemotron-Nano-9B-v2
33,korbench,Llama-3.1-8B-Instruct
33,meld,Qwen2.5-Coder-7B-Instruct
33,finqa,Fin-R1
33,medqa,Qwen3-8B
34,mmlupro,gemma-2-9b-it
34,livecodebench,Llama-3.1-8B-UltraMedical
34,math500,DeepSeek-R1-0528-Qwen3-8B
34,bbh,NVIDIA-Nemotron-Nano-9B-v2
34,korbench,Llama-3.1-8B-Instruct
34,meld,Qwen2.5-Coder-7B-Instruct
34,finqa,Fin-R1
34,medqa,Qwen3-8B
35,mmlupro,Llama-3.1-8B-Instruct
35,medqa,Qwen3-8B
35,livecodebench,Llama-3.1-8B-UltraMedical
35,meld,gemma-2-9b-it
35,math500,DeepSeek-R1-0528-Qwen3-8B
35,bbh,NVIDIA-Nemotron-Nano-9B-v2
35,finqa,Fin-R1
35,korbench,Qwen2.5-Coder-7B-Instruct
36,mmlupro,gemma-2-9b-it
36,livecodebench,Llama-3.1-8B-UltraMedical
36,math500,DeepSeek-R1-0528-Qwen3-8B
36,bbh,NVIDIA-Nemotron-Nano-9B-v2
36,korbench,Llama-3.1-8B-Instruct
36,meld,Qwen2.5-Coder-7B-Instruct
36,finqa,Fin-R1
36,medqa,Qwen3-8B
37,mmlupro,gemma-2-9b-it
37,livecodebench,Llama-3.1-8B-UltraMedical
37,math500,NVIDIA-Nemotron-Nano-9B-v2
37,korbench,Llama-3.1-8B-Instruct
37,meld,Qwen2.5-Coder-7B-Instruct
37,finqa,Fin-R1
37,bbh,DeepSeek-R1-0528-Qwen3-8B
37,medqa,Qwen3-8B
38,mmlupro,Llama-3.1-8B-Instruct
38,medqa,Qwen3-8B
38,livecodebench,Llama-3.1-8B-UltraMedical
38,meld,gemma-2-9b-it
38,math500,DeepSeek-R1-0528-Qwen3-8B
38,bbh,NVIDIA-Nemotron-Nano-9B-v2
38,finqa,Fin-R1
38,korbench,Qwen2.5-Coder-7B-Instruct
39,mmlupro,gemma-2-9b-it
39,livecodebench,Llama-3.1-8B-UltraMedical
39,math500,DeepSeek-R1-0528-Qwen3-8B
39,bbh,NVIDIA-Nemotron-Nano-9B-v2
39,korbench,Llama-3.1-8B-Instruct
39,meld,Qwen2.5-Coder-7B-Instruct
39,finqa,Fin-R1
39,medqa,Qwen3-8B
40,mmlupro,gemma-2-9b-it
40,finqa,NVIDIA-Nemotron-Nano-9B-v2
40,livecodebench,Llama-3.1-8B-Instruct
40,math500,Qwen3-8B
40,korbench,Fin-R1
40,medqa,Llama-3.1-8B-UltraMedical
40,meld,Qwen2.5-Coder-7B-Instruct
40,bbh,DeepSeek-R1-0528-Qwen3-8B
41,mmlupro,Llama-3.1-8B-Instruct
41,korbench,Qwen2.5-Coder-7B-Instruct
41,livecodebench,Llama-3.1-8B-UltraMedical
41,math500,NVIDIA-Nemotron-Nano-9B-v2
41,meld,gemma-2-9b-it
41,bbh,DeepSeek-R1-0528-Qwen3-8B
41,finqa,Fin-R1
41,medqa,Qwen3-8B
42,mmlupro,gemma-2-9b-it
42,livecodebench,Llama-3.1-8B-UltraMedical
42,math500,DeepSeek-R1-0528-Qwen3-8B
42,bbh,NVIDIA-Nemotron-Nano-9B-v2
42,korbench,Llama-3.1-8B-Instruct
42,meld,Qwen2.5-Coder-7B-Instruct
42,finqa,Fin-R1
42,medqa,Qwen3-8B
43,mmlupro,Qwen2.5-Coder-7B-Instruct
43,livecodebench,Llama-3.1-8B-UltraMedical
43,meld,gemma-2-9b-it
43,math500,DeepSeek-R1-0528-Qwen3-8B
43,bbh,NVIDIA-Nemotron-Nano-9B-v2
43,korbench,Llama-3.1-8B-Instruct
43,finqa,Fin-R1
43,medqa,Qwen3-8B
44,mmlupro,gemma-2-9b-it
44,livecodebench,Llama-3.1-8B-UltraMedical
44,math500,DeepSeek-R1-0528-Qwen3-8B
44,bbh,NVIDIA-Nemotron-Nano-9B-v2
44,korbench,Llama-3.1-8B-Instruct
44,meld,Qwen2.5-Coder-7B-Instruct
44,finqa,Fin-R1
44,medqa,Qwen3-8B
45,mmlupro,Llama-3.1-8B-Instruct
45,medqa,Qwen3-8B
45,livecodebench,Llama-3.1-8B-UltraMedical
45,meld,gemma-2-9b-it
45,math500,DeepSeek-R1-0528-Qwen3-8B
45,bbh,NVIDIA-Nemotron-Nano-9B-v2
45,finqa,Fin-R1
45,korbench,Qwen2.5-Coder-7B-Instruct
46,mmlupro,gemma-2-9b-it
46,livecodebench,Llama-3.1-8B-UltraMedical
46,math500,NVIDIA-Nemotron-Nano-9B-v2
46,korbench,Llama-3.1-8B-Instruct
46,meld,Qwen2.5-Coder-7B-Instruct
46,finqa,Fin-R1
46,bbh,DeepSeek-R1-0528-Qwen3-8B
46,medqa,Qwen3-8B
47,mmlupro,gemma-2-9b-it
47,livecodebench,Llama-3.1-8B-UltraMedical
47,math500,DeepSeek-R1-0528-Qwen3-8B
47,bbh,NVIDIA-Nemotron-Nano-9B-v2
47,korbench,Llama-3.1-8B-Instruct
47,meld,Qwen2.5-Coder-7B-Instruct
47,finqa,Fin-R1
47,medqa,Qwen3-8B
48,mmlupro,Qwen2.5-Coder-7B-Instruct
48,livecodebench,Llama-3.1-8B-UltraMedical
48,math500,NVIDIA-Nemotron-Nano-9B-v2
48,meld,gemma-2-9b-it
48,korbench,Llama-3.1-8B-Instruct
48,bbh,DeepSeek-R1-0528-Qwen3-8B
48,finqa,Fin-R1
48,medqa,Qwen3-8B
49,korbench,Qwen2.5-Coder-7B-Instruct
49,mmlupro,gemma-2-9b-it
49,meld,Llama-3.1-8B-Instruct
49,livecodebench,Llama-3.1-8B-UltraMedical
49,math500,NVIDIA-Nemotron-Nano-9B-v2
49,bbh,DeepSeek-R1-0528-Qwen3-8B
49,finqa,Fin-R1
49,medqa,Qwen3-8B
50,mmlupro,gemma-2-9b-it
50,livecodebench,Llama-3.1-8B-UltraMedical
50,math500,NVIDIA-Nemotron-Nano-9B-v2
50,korbench,Llama-3.1-8B-Instruct
50,meld,Qwen2.5-Coder-7B-Instruct
50,finqa,Fin-R1
50,bbh,DeepSeek-R1-0528-Qwen3-8B
50,medqa,Qwen3-8B
51,mmlupro,gemma-2-9b-it
51,livecodebench,Llama-3.1-8B-UltraMedical
51,math500,NVIDIA-Nemotron-Nano-9B-v2
51,korbench,Llama-3.1-8B-Instruct
51,meld,Qwen2.5-Coder-7B-Instruct
51,finqa,Fin-R1
51,bbh,DeepSeek-R1-0528-Qwen3-8B
51,medqa,Qwen3-8B
52,mmlupro,gemma-2-9b-it
52,livecodebench,Llama-3.1-8B-UltraMedical
52,math500,NVIDIA-Nemotron-Nano-9B-v2
52,korbench,Llama-3.1-8B-Instruct
52,meld,Qwen2.5-Coder-7B-Instruct
52,finqa,Fin-R1
52,bbh,DeepSeek-R1-0528-Qwen3-8B
52,medqa,Qwen3-8B
53,mmlupro,Qwen2.5-Coder-7B-Instruct
53,livecodebench,Llama-3.1-8B-UltraMedical
53,meld,gemma-2-9b-it
53,math500,DeepSeek-R1-0528-Qwen3-8B
53,bbh,NVIDIA-Nemotron-Nano-9B-v2
53,korbench,Llama-3.1-8B-Instruct
53,finqa,Fin-R1
53,medqa,Qwen3-8B
54,mmlupro,Llama-3.1-8B-Instruct
54,korbench,Qwen2.5-Coder-7B-Instruct
54,livecodebench,Llama-3.1-8B-UltraMedical
54,math500,NVIDIA-Nemotron-Nano-9B-v2
54,meld,gemma-2-9b-it
54,bbh,DeepSeek-R1-0528-Qwen3-8B
54,finqa,Fin-R1
54,medqa,Qwen3-8B
55,livecodebench,Llama-3.1-8B-Instruct
55,mmlupro,Qwen2.5-Coder-7B-Instruct
55,math500,NVIDIA-Nemotron-Nano-9B-v2
55,meld,gemma-2-9b-it
55,bbh,DeepSeek-R1-0528-Qwen3-8B
55,finqa,Fin-R1
55,korbench,Llama-3.1-8B-UltraMedical
55,medqa,Qwen3-8B
56,mmlupro,gemma-2-9b-it
56,livecodebench,Llama-3.1-8B-UltraMedical
56,math500,DeepSeek-R1-0528-Qwen3-8B
56,bbh,NVIDIA-Nemotron-Nano-9B-v2
56,korbench,Llama-3.1-8B-Instruct
56,meld,Qwen2.5-Coder-7B-Instruct
56,finqa,Fin-R1
56,medqa,Qwen3-8B
57,mmlupro,Llama-3.1-8B-Instruct
57,medqa,Qwen3-8B
57,livecodebench,Llama-3.1-8B-UltraMedical
57,meld,gemma-2-9b-it
57,math500,DeepSeek-R1-0528-Qwen3-8B
57,bbh,NVIDIA-Nemotron-Nano-9B-v2
57,finqa,Fin-R1
57,korbench,Qwen2.5-Coder-7B-Instruct
58,mmlupro,gemma-2-9b-it
58,livecodebench,Llama-3.1-8B-Instruct
58,korbench,Fin-R1
58,medqa,Llama-3.1-8B-UltraMedical
58,math500,DeepSeek-R1-0528-Qwen3-8B
58,bbh,NVIDIA-Nemotron-Nano-9B-v2
58,meld,Qwen2.5-Coder-7B-Instruct
58,finqa,Qwen3-8B
59,meld,Fin-R1
59,mmlupro,gemma-2-9b-it
59,finqa,NVIDIA-Nemotron-Nano-9B-v2
59,math500,Qwen3-8B
59,livecodebench,Llama-3.1-8B-UltraMedical
59,bbh,DeepSeek-R1-0528-Qwen3-8B
59,korbench,Qwen2.5-Coder-7B-Instruct
59,medqa,Llama-3.1-8B-Instruct
60,mmlupro,gemma-2-9b-it
60,livecodebench,Llama-3.1-8B-UltraMedical
60,math500,DeepSeek-R1-0528-Qwen3-8B
60,bbh,NVIDIA-Nemotron-Nano-9B-v2
60,korbench,Llama-3.1-8B-Instruct
60,meld,Qwen2.5-Coder-7B-Instruct
60,finqa,Fin-R1
60,medqa,Qwen3-8B
61,mmlupro,gemma-2-9b-it
61,livecodebench,Llama-3.1-8B-Instruct
61,math500,DeepSeek-R1-0528-Qwen3-8B
61,bbh,NVIDIA-Nemotron-Nano-9B-v2
61,meld,Qwen2.5-Coder-7B-Instruct
61,finqa,Fin-R1
61,korbench,Llama-3.1-8B-UltraMedical
61,medqa,Qwen3-8B
62,mmlupro,gemma-2-9b-it
62,livecodebench,Llama-3.1-8B-UltraMedical
62,math500,NVIDIA-Nemotron-Nano-9B-v2
62,korbench,Llama-3.1-8B-Instruct
62,meld,Qwen2.5-Coder-7B-Instruct
62,finqa,Fin-R1
62,bbh,DeepSeek-R1-0528-Qwen3-8B
62,medqa,Qwen3-8B
63,mmlupro,gemma-2-9b-it
63,finqa,NVIDIA-Nemotron-Nano-9B-v2
63,math500,Qwen3-8B
63,korbench,Fin-R1
63,livecodebench,Llama-3.1-8B-UltraMedical
63,meld,Qwen2.5-Coder-7B-Instruct
63,bbh,DeepSeek-R1-0528-Qwen3-8B
63,medqa,Llama-3.1-8B-Instruct
64,mmlupro,gemma-2-9b-it
64,livecodebench,Llama-3.1-8B-UltraMedical
64,math500,NVIDIA-Nemotron-Nano-9B-v2
64,korbench,Llama-3.1-8B-Instruct
64,meld,Qwen2.5-Coder-7B-Instruct
64,finqa,Fin-R1
64,bbh,DeepSeek-R1-0528-Qwen3-8B
64,medqa,Qwen3-8B
65,mmlupro,gemma-2-9b-it
65,livecodebench,Llama-3.1-8B-UltraMedical
65,math500,DeepSeek-R1-0528-Qwen3-8B
65,bbh,NVIDIA-Nemotron-Nano-9B-v2
65,korbench,Llama-3.1-8B-Instruct
65,meld,Qwen2.5-Coder-7B-Instruct
65,finqa,Fin-R1
65,medqa,Qwen3-8B
66,mmlupro,gemma-2-9b-it
66,livecodebench,Llama-3.1-8B-UltraMedical
66,math500,DeepSeek-R1-0528-Qwen3-8B
66,bbh,NVIDIA-Nemotron-Nano-9B-v2
66,korbench,Llama-3.1-8B-Instruct
66,meld,Qwen2.5-Coder-7B-Instruct
66,finqa,Fin-R1
66,medqa,Qwen3-8B
67,mmlupro,gemma-2-9b-it
67,livecodebench,Llama-3.1-8B-Instruct
67,math500,DeepSeek-R1-0528-Qwen3-8B
67,bbh,NVIDIA-Nemotron-Nano-9B-v2
67,meld,Qwen2.5-Coder-7B-Instruct
67,finqa,Fin-R1
67,korbench,Llama-3.1-8B-UltraMedical
67,medqa,Qwen3-8B
68,mmlupro,Qwen2.5-Coder-7B-Instruct
68,livecodebench,Llama-3.1-8B-UltraMedical
68,meld,gemma-2-9b-it
68,math500,DeepSeek-R1-0528-Qwen3-8B
68,bbh,NVIDIA-Nemotron-Nano-9B-v2
68,korbench,Llama-3.1-8B-Instruct
68,finqa,Fin-R1
68,medqa,Qwen3-8B
69,mmlupro,gemma-2-9b-it
69,livecodebench,Llama-3.1-8B-UltraMedical
69,math500,NVIDIA-Nemotron-Nano-9B-v2
69,korbench,Llama-3.1-8B-Instruct
69,meld,Qwen2.5-Coder-7B-Instruct
69,finqa,Fin-R1
69,bbh,DeepSeek-R1-0528-Qwen3-8B
69,medqa,Qwen3-8B
70,livecodebench,Llama-3.1-8B-Instruct
70,mmlupro,Qwen2.5-Coder-7B-Instruct
70,math500,NVIDIA-Nemotron-Nano-9B-v2
70,meld,gemma-2-9b-it
70,bbh,DeepSeek-R1-0528-Qwen3-8B
70,finqa,Fin-R1
70,korbench,Llama-3.1-8B-UltraMedical
70,medqa,Qwen3-8B
71,mmlupro,Llama-3.1-8B-Instruct
71,math500,NVIDIA-Nemotron-Nano-9B-v2
71,livecodebench,Qwen2.5-Coder-7B-Instruct
71,meld,gemma-2-9b-it
71,bbh,DeepSeek-R1-0528-Qwen3-8B
71,finqa,Fin-R1
71,korbench,Llama-3.1-8B-UltraMedical
71,medqa,Qwen3-8B
72,medqa,NVIDIA-Nemotron-Nano-9B-v2
72,mmlupro,gemma-2-9b-it
72,math500,Qwen3-8B
72,livecodebench,Llama-3.1-8B-UltraMedical
72,korbench,Llama-3.1-8B-Instruct
72,meld,Qwen2.5-Coder-7B-Instruct
72,finqa,Fin-R1
72,bbh,DeepSeek-R1-0528-Qwen3-8B
73,mmlupro,gemma-2-9b-it
73,livecodebench,Llama-3.1-8B-UltraMedical
73,math500,DeepSeek-R1-0528-Qwen3-8B
73,bbh,NVIDIA-Nemotron-Nano-9B-v2
73,korbench,Llama-3.1-8B-Instruct
73,meld,Qwen2.5-Coder-7B-Instruct
73,finqa,Fin-R1
73,medqa,Qwen3-8B
74,mmlupro,gemma-2-9b-it
74,livecodebench,Llama-3.1-8B-UltraMedical
74,math500,DeepSeek-R1-0528-Qwen3-8B
74,bbh,NVIDIA-Nemotron-Nano-9B-v2
74,korbench,Llama-3.1-8B-Instruct
74,meld,Qwen2.5-Coder-7B-Instruct
74,finqa,Fin-R1
74,medqa,Qwen3-8B
75,mmlupro,Llama-3.1-8B-Instruct
75,medqa,Qwen3-8B
75,livecodebench,Llama-3.1-8B-UltraMedical
75,meld,gemma-2-9b-it
75,math500,DeepSeek-R1-0528-Qwen3-8B
75,bbh,NVIDIA-Nemotron-Nano-9B-v2
75,finqa,Fin-R1
75,korbench,Qwen2.5-Coder-7B-Instruct
76,mmlupro,gemma-2-9b-it
76,livecodebench,Llama-3.1-8B-UltraMedical
76,math500,NVIDIA-Nemotron-Nano-9B-v2
76,korbench,Llama-3.1-8B-Instruct
76,meld,Qwen2.5-Coder-7B-Instruct
76,finqa,Fin-R1
76,bbh,DeepSeek-R1-0528-Qwen3-8B
76,medqa,Qwen3-8B
77,medqa,NVIDIA-Nemotron-Nano-9B-v2
77,math500,Qwen3-8B
77,mmlupro,Qwen2.5-Coder-7B-Instruct
77,livecodebench,Llama-3.1-8B-UltraMedical
77,meld,gemma-2-9b-it
77,korbench,Llama-3.1-8B-Instruct
77,bbh,DeepSeek-R1-0528-Qwen3-8B
77,finqa,Fin-R1
78,mmlupro,gemma-2-9b-it
78,livecodebench,Llama-3.1-8B-UltraMedical
78,math500,NVIDIA-Nemotron-Nano-9B-v2
78,korbench,Llama-3.1-8B-Instruct
78,meld,Qwen2.5-Coder-7B-Instruct
78,finqa,Fin-R1
78,bbh,DeepSeek-R1-0528-Qwen3-8B
78,medqa,Qwen3-8B
79,medqa,NVIDIA-Nemotron-Nano-9B-v2
79,mmlupro,gemma-2-9b-it
79,math500,Qwen3-8B
