dataset,record_index,split
finqa,302,val
finqa,745,val
finqa,844,val
finqa,404,val
finqa,604,val
finqa,913,val
finqa,348,val
finqa,31,val
finqa,227,val
finqa,92,val
finqa,891,val
finqa,375,val
finqa,1081,val
finqa,2,val
finqa,843,val
finqa,112,val
finqa,350,val
finqa,887,val
finqa,1118,val
finqa,654,val
finqa,1017,val
finqa,290,val
finqa,219,val
finqa,979,val
finqa,1070,val
finqa,699,val
finqa,1015,val
finqa,236,val
finqa,1014,val
finqa,780,val
finqa,951,val
finqa,301,val
finqa,589,val
finqa,148,val
finqa,849,val
finqa,441,val
finqa,294,val
finqa,1102,val
finqa,798,val
finqa,444,val
finqa,966,val
finqa,423,val
finqa,214,val
finqa,957,val
finqa,625,val
finqa,443,val
finqa,716,val
finqa,793,val
finqa,241,val
finqa,935,val
finqa,5,val
finqa,135,val
finqa,174,val
finqa,663,val
finqa,976,val
finqa,1089,val
finqa,1003,test
finqa,1091,test
finqa,738,test
finqa,259,test
finqa,826,test
finqa,196,test
finqa,225,test
finqa,22,test
finqa,373,test
finqa,1026,test
finqa,165,test
finqa,360,test
finqa,230,test
finqa,1013,test
finqa,972,test
finqa,204,test
finqa,1123,test
finqa,682,test
finqa,924,test
finqa,588,test
finqa,325,test
finqa,418,test
finqa,1058,test
finqa,518,test
finqa,868,test
finqa,710,test
finqa,928,test
finqa,1142,test
finqa,449,test
finqa,445,test
finqa,173,test
finqa,1088,test
finqa,582,test
finqa,447,test
finqa,658,test
finqa,149,test
finqa,870,test
finqa,1100,test
finqa,426,test
finqa,664,test
finqa,1067,test
finqa,29,test
finqa,964,test
finqa,502,test
finqa,397,test
finqa,1132,test
finqa,666,test
finqa,40,test
finqa,775,test
finqa,270,test
finqa,1112,test
finqa,335,test
finqa,570,test
finqa,419,test
finqa,551,test
finqa,4,test
finqa,1080,test
finqa,345,test
finqa,157,test
finqa,802,test
finqa,768,test
finqa,630,test
finqa,988,test
finqa,1144,test
finqa,1141,test
finqa,1076,test
finqa,247,test
finqa,553,test
finqa,805,test
finqa,841,test
finqa,91,test
finqa,1075,test
finqa,1115,test
finqa,750,test
finqa,977,test
finqa,200,test
finqa,727,test
finqa,1130,test
finqa,333,test
finqa,129,test
finqa,875,test
finqa,187,test
finqa,946,test
finqa,965,test
finqa,837,test
finqa,819,test
finqa,349,test
finqa,430,test
finqa,990,test
finqa,800,test
finqa,32,test
finqa,861,test
finqa,782,test
finqa,1093,test
finqa,218,test
finqa,799,test
finqa,569,test
finqa,262,test
finqa,400,test
finqa,393,test
finqa,330,test
finqa,733,test
finqa,651,test
finqa,825,test
finqa,1063,test
finqa,25,test
finqa,831,test
finqa,188,test
finqa,280,test
finqa,159,test
finqa,3,test
finqa,897,test
finqa,169,test
finqa,1057,test
finqa,198,test
finqa,203,test
finqa,737,test
finqa,912,test
finqa,774,test
finqa,143,test
finqa,273,test
finqa,624,test
finqa,941,test
finqa,399,test
finqa,309,test
finqa,573,test
finqa,93,test
finqa,511,test
finqa,1103,test
finqa,263,test
finqa,991,test
finqa,457,test
finqa,1096,test
finqa,352,test
finqa,460,test
finqa,8,test
finqa,15,test
finqa,693,test
finqa,54,test
finqa,508,test
finqa,201,test
finqa,210,test
finqa,251,test
finqa,78,test
finqa,97,test
finqa,980,test
finqa,724,test
finqa,539,test
finqa,567,test
finqa,908,test
finqa,873,test
finqa,212,test
finqa,369,test
finqa,907,test
finqa,583,test
finqa,336,test
finqa,276,test
finqa,1032,test
finqa,304,test
finqa,787,test
finqa,488,test
finqa,1054,test
finqa,172,test
finqa,244,test
finqa,431,test
finqa,484,test
finqa,317,test
finqa,665,test
finqa,243,test
finqa,69,test
finqa,631,test
finqa,359,test
finqa,783,test
finqa,587,test
finqa,856,test
finqa,659,test
finqa,615,test
finqa,938,test
finqa,506,test
finqa,292,test
finqa,503,test
finqa,395,test
finqa,823,test
finqa,1090,test
finqa,319,test
finqa,448,test
finqa,618,test
finqa,463,test
finqa,467,test
finqa,235,test
finqa,1108,test
finqa,970,test
finqa,901,test
finqa,852,test
finqa,748,test
finqa,967,test
finqa,914,test
finqa,726,test
finqa,1104,test
finqa,401,test
finqa,642,test
finqa,947,test
finqa,603,test
finqa,741,test
finqa,542,test
finqa,944,test
finqa,151,test
finqa,455,test
finqa,927,test
finqa,396,test
finqa,862,test
finqa,432,test
finqa,735,test
finqa,500,test
finqa,576,test
finqa,338,test
finqa,195,test
finqa,130,test
finqa,712,test
finqa,513,test
finqa,407,test
finqa,310,test
finqa,931,test
finqa,1124,test
finqa,1038,test
finqa,668,test
finqa,507,test
finqa,245,test
finqa,417,test
finqa,209,test
livecodebench,651,train
livecodebench,875,train
livecodebench,228,train
livecodebench,332,train
livecodebench,748,train
livecodebench,838,train
livecodebench,503,train
livecodebench,890,train
livecodebench,197,train
livecodebench,473,train
livecodebench,836,train
livecodebench,1041,train
livecodebench,859,train
livecodebench,628,train
livecodebench,588,train
livecodebench,304,train
livecodebench,490,train
livecodebench,128,train
livecodebench,849,train
livecodebench,984,train
livecodebench,316,train
livecodebench,458,train
livecodebench,563,train
livecodebench,502,train
livecodebench,833,train
livecodebench,339,train
livecodebench,1024,train
livecodebench,655,train
livecodebench,515,train
livecodebench,730,train
livecodebench,43,train
livecodebench,376,train
livecodebench,488,train
livecodebench,92,train
livecodebench,830,train
livecodebench,288,train
livecodebench,513,train
livecodebench,407,train
livecodebench,977,train
livecodebench,1002,train
livecodebench,626,train
livecodebench,904,train
livecodebench,27,train
livecodebench,222,train
livecodebench,927,train
livecodebench,526,train
livecodebench,861,train
livecodebench,391,train
livecodebench,553,train
livecodebench,670,train
livecodebench,887,train
livecodebench,745,train
livecodebench,344,train
livecodebench,99,train
livecodebench,758,train
livecodebench,291,train
livecodebench,583,train
livecodebench,469,train
livecodebench,802,train
livecodebench,529,train
livecodebench,317,train
livecodebench,303,train
livecodebench,763,train
livecodebench,491,train
livecodebench,115,train
livecodebench,789,train
livecodebench,939,train
livecodebench,508,train
livecodebench,639,train
livecodebench,65,train
livecodebench,632,train
livecodebench,418,train
livecodebench,55,train
livecodebench,972,train
livecodebench,913,train
livecodebench,87,train
livecodebench,969,train
livecodebench,941,train
livecodebench,796,train
livecodebench,784,train
livecodebench,177,train
livecodebench,113,train
livecodebench,614,train
livecodebench,661,train
livecodebench,82,train
livecodebench,732,train
livecodebench,178,train
livecodebench,974,train
livecodebench,114,train
livecodebench,454,train
livecodebench,845,train
livecodebench,138,train
livecodebench,141,train
livecodebench,420,train
livecodebench,359,train
livecodebench,799,train
livecodebench,597,train
livecodebench,606,train
livecodebench,779,train
livecodebench,83,train
livecodebench,186,train
livecodebench,218,train
livecodebench,894,train
livecodebench,258,train
livecodebench,938,train
livecodebench,738,train
livecodebench,16,train
livecodebench,425,train
livecodebench,945,train
livecodebench,1032,train
livecodebench,163,train
livecodebench,148,train
livecodebench,824,train
livecodebench,337,train
livecodebench,5,train
livecodebench,760,train
livecodebench,687,train
livecodebench,555,train
livecodebench,470,train
livecodebench,351,train
livecodebench,122,train
livecodebench,284,train
livecodebench,552,train
livecodebench,978,train
livecodebench,652,train
livecodebench,63,train
livecodebench,698,train
livecodebench,634,train
livecodebench,703,train
livecodebench,865,train
livecodebench,973,train
livecodebench,516,train
livecodebench,917,train
livecodebench,851,train
livecodebench,967,train
livecodebench,980,train
livecodebench,374,train
livecodebench,544,train
livecodebench,439,train
livecodebench,301,train
livecodebench,885,train
livecodebench,10,train
livecodebench,347,train
livecodebench,322,train
livecodebench,610,train
livecodebench,336,train
livecodebench,360,train
livecodebench,175,train
livecodebench,720,train
livecodebench,782,train
livecodebench,946,train
livecodebench,410,train
livecodebench,48,train
livecodebench,364,train
livecodebench,551,train
livecodebench,562,train
livecodebench,459,train
livecodebench,300,train
livecodebench,848,train
livecodebench,673,train
livecodebench,690,train
livecodebench,385,train
livecodebench,992,train
livecodebench,1015,train
livecodebench,711,train
livecodebench,76,train
livecodebench,926,train
livecodebench,86,train
livecodebench,243,train
livecodebench,677,train
livecodebench,259,train
livecodebench,1055,train
livecodebench,116,train
livecodebench,183,train
livecodebench,246,train
livecodebench,713,train
livecodebench,643,train
livecodebench,1036,train
livecodebench,612,train
livecodebench,60,train
livecodebench,803,train
livecodebench,283,train
livecodebench,51,train
livecodebench,922,train
livecodebench,604,train
livecodebench,101,train
livecodebench,752,train
livecodebench,358,train
livecodebench,157,train
livecodebench,864,train
livecodebench,430,train
livecodebench,196,train
livecodebench,989,train
livecodebench,950,train
livecodebench,134,train
livecodebench,406,train
livecodebench,504,train
livecodebench,545,train
livecodebench,959,train
livecodebench,581,train
livecodebench,768,train
livecodebench,993,train
livecodebench,78,train
livecodebench,718,train
livecodebench,801,train
livecodebench,133,train
livecodebench,778,train
livecodebench,1022,train
livecodebench,633,train
livecodebench,184,train
livecodebench,262,train
livecodebench,935,train
livecodebench,366,train
livecodebench,522,train
livecodebench,656,train
livecodebench,475,train
livecodebench,937,train
livecodebench,381,train
livecodebench,156,train
livecodebench,928,train
livecodebench,905,train
livecodebench,932,train
livecodebench,422,train
livecodebench,421,train
livecodebench,648,train
livecodebench,940,train
livecodebench,520,train
livecodebench,962,train
livecodebench,595,train
livecodebench,145,train
livecodebench,71,train
livecodebench,139,train
livecodebench,64,train
livecodebench,169,train
livecodebench,528,train
livecodebench,194,train
livecodebench,209,train
livecodebench,996,train
livecodebench,432,train
livecodebench,309,train
livecodebench,311,train
livecodebench,1007,train
livecodebench,676,train
livecodebench,619,train
livecodebench,1023,train
livecodebench,61,train
livecodebench,375,train
livecodebench,142,train
livecodebench,216,train
livecodebench,536,train
livecodebench,770,train
livecodebench,681,train
livecodebench,124,train
livecodebench,831,train
livecodebench,208,train
livecodebench,369,train
livecodebench,165,train
livecodebench,743,train
livecodebench,675,train
livecodebench,191,train
livecodebench,450,train
livecodebench,373,train
livecodebench,240,train
livecodebench,786,train
livecodebench,739,train
livecodebench,279,train
livecodebench,305,train
livecodebench,413,train
livecodebench,825,train
livecodebench,14,train
livecodebench,182,train
livecodebench,591,train
livecodebench,181,train
livecodebench,153,train
livecodebench,445,train
livecodebench,147,train
livecodebench,842,train
livecodebench,249,train
livecodebench,255,train
livecodebench,256,train
livecodebench,135,train
livecodebench,769,train
livecodebench,231,train
livecodebench,468,train
livecodebench,229,train
livecodebench,149,train
livecodebench,329,train
livecodebench,971,train
livecodebench,81,train
livecodebench,565,train
livecodebench,395,train
livecodebench,805,train
livecodebench,952,train
livecodebench,792,train
livecodebench,440,train
livecodebench,223,train
livecodebench,212,train
livecodebench,130,train
livecodebench,535,train
livecodebench,810,train
livecodebench,990,train
livecodebench,155,train
livecodebench,918,train
livecodebench,217,train
livecodebench,1038,train
livecodebench,663,train
livecodebench,100,train
livecodebench,970,train
livecodebench,846,train
livecodebench,672,train
livecodebench,180,train
livecodebench,622,train
livecodebench,716,train
livecodebench,441,train
livecodebench,985,train
livecodebench,433,train
livecodebench,220,train
livecodebench,474,train
livecodebench,534,train
livecodebench,198,train
livecodebench,618,train
livecodebench,461,train
livecodebench,734,train
livecodebench,107,train
livecodebench,380,train
livecodebench,455,train
livecodebench,485,train
livecodebench,449,train
livecodebench,951,train
livecodebench,884,train
livecodebench,853,train
livecodebench,706,train
livecodebench,559,train
livecodebench,829,train
livecodebench,269,train
livecodebench,365,train
livecodebench,189,train
livecodebench,797,train
livecodebench,537,train
livecodebench,211,train
livecodebench,901,train
livecodebench,408,train
livecodebench,587,train
livecodebench,658,train
livecodebench,1030,train
livecodebench,674,train
livecodebench,693,train
livecodebench,117,train
livecodebench,903,train
livecodebench,94,train
livecodebench,320,train
livecodebench,1040,train
livecodebench,755,train
livecodebench,1008,train
livecodebench,343,train
livecodebench,95,train
livecodebench,751,train
livecodebench,125,train
livecodebench,467,train
livecodebench,519,train
livecodebench,599,train
livecodebench,869,train
livecodebench,1001,train
livecodebench,881,train
livecodebench,872,train
livecodebench,518,train
livecodebench,102,train
livecodebench,613,train
livecodebench,586,train
livecodebench,699,train
livecodebench,787,train
livecodebench,436,train
livecodebench,235,train
livecodebench,176,train
livecodebench,873,train
livecodebench,683,train
livecodebench,158,train
livecodebench,647,train
livecodebench,452,train
livecodebench,462,train
livecodebench,1000,train
livecodebench,192,train
livecodebench,934,train
livecodebench,1011,train
livecodebench,390,train
livecodebench,326,train
livecodebench,241,train
livecodebench,641,train
livecodebench,260,train
livecodebench,457,train
livecodebench,578,train
livecodebench,533,train
livecodebench,953,train
livecodebench,546,train
livecodebench,611,train
livecodebench,7,train
livecodebench,965,train
livecodebench,892,train
livecodebench,783,train
livecodebench,665,train
livecodebench,73,train
livecodebench,635,train
livecodebench,242,train
livecodebench,278,train
livecodebench,966,train
livecodebench,35,train
livecodebench,1018,train
livecodebench,1013,train
livecodebench,389,train
livecodebench,487,train
livecodebench,538,train
livecodebench,708,train
livecodebench,341,train
livecodebench,168,train
livecodebench,423,train
livecodebench,230,train
livecodebench,393,train
livecodebench,1035,train
livecodebench,266,train
livecodebench,1047,train
livecodebench,895,train
livecodebench,584,train
livecodebench,90,train
livecodebench,814,train
livecodebench,386,train
livecodebench,571,train
livecodebench,146,train
livecodebench,1034,train
livecodebench,679,train
livecodebench,968,train
livecodebench,850,train
livecodebench,678,train
livecodebench,464,train
livecodebench,70,train
livecodebench,1025,train
livecodebench,823,train
livecodebench,28,train
livecodebench,68,train
livecodebench,548,train
livecodebench,4,train
livecodebench,625,train
livecodebench,883,train
livecodebench,411,train
livecodebench,286,train
livecodebench,427,train
livecodebench,338,train
livecodebench,214,train
livecodebench,265,train
livecodebench,856,train
livecodebench,310,train
livecodebench,920,train
livecodebench,219,train
livecodebench,788,train
livecodebench,1039,train
livecodebench,695,train
livecodebench,493,train
livecodebench,729,train
livecodebench,174,train
livecodebench,31,train
livecodebench,80,train
livecodebench,161,train
livecodebench,1031,train
livecodebench,132,train
