dataset,record_index,split
bbh,314,train
bbh,1062,train
bbh,240,train
bbh,756,train
bbh,154,train
bbh,156,train
bbh,1030,train
bbh,15,train
bbh,195,train
bbh,779,train
bbh,950,train
bbh,1079,train
bbh,144,train
bbh,242,train
bbh,250,train
bbh,377,train
bbh,349,train
bbh,484,train
bbh,784,train
bbh,216,train
bbh,609,train
bbh,501,train
bbh,239,train
bbh,539,train
bbh,1040,train
bbh,916,train
bbh,821,train
bbh,182,train
bbh,67,train
bbh,663,train
bbh,519,train
bbh,1037,train
bbh,459,train
bbh,20,train
bbh,550,train
bbh,980,train
bbh,315,train
bbh,342,train
bbh,35,train
bbh,286,train
bbh,190,train
bbh,755,train
bbh,317,train
bbh,829,train
bbh,936,train
bbh,658,train
bbh,359,train
bbh,1078,train
bbh,74,train
bbh,570,train
bbh,569,train
bbh,318,train
bbh,878,train
bbh,988,train
bbh,301,train
bbh,92,train
bbh,985,train
bbh,334,train
bbh,25,train
bbh,177,train
bbh,474,train
bbh,76,train
bbh,393,train
bbh,130,train
bbh,641,train
bbh,48,train
bbh,938,train
bbh,168,train
bbh,1035,train
bbh,262,train
bbh,729,train
bbh,178,train
bbh,928,train
bbh,1044,train
bbh,970,train
bbh,713,train
bbh,370,train
bbh,131,train
bbh,426,train
bbh,675,train
bbh,1021,train
bbh,344,train
bbh,215,train
bbh,113,train
bbh,288,train
bbh,328,train
bbh,71,train
bbh,685,train
bbh,341,train
bbh,697,train
bbh,332,train
bbh,134,train
bbh,353,train
bbh,184,train
bbh,957,train
bbh,702,train
bbh,1056,train
bbh,229,train
bbh,954,train
bbh,543,train
bbh,515,train
bbh,102,train
bbh,1063,train
bbh,24,train
bbh,1065,train
bbh,1075,train
bbh,996,train
bbh,730,train
bbh,788,train
bbh,907,train
bbh,546,train
bbh,767,train
bbh,617,train
bbh,192,train
bbh,1039,train
bbh,443,train
bbh,435,train
bbh,44,train
bbh,966,train
bbh,232,train
bbh,362,train
bbh,893,train
bbh,382,train
bbh,420,train
bbh,739,train
bbh,122,train
bbh,768,train
bbh,68,train
bbh,812,train
bbh,972,train
bbh,695,train
bbh,95,train
bbh,748,train
bbh,607,train
bbh,483,train
bbh,376,train
bbh,228,train
bbh,396,train
bbh,104,train
bbh,590,train
bbh,289,train
bbh,801,train
bbh,189,train
bbh,319,train
bbh,492,train
bbh,11,train
bbh,337,train
bbh,132,train
bbh,619,train
bbh,961,train
bbh,284,train
bbh,638,train
bbh,694,train
bbh,753,train
bbh,133,train
bbh,47,train
bbh,166,train
bbh,979,train
bbh,998,train
bbh,1000,train
bbh,528,train
bbh,150,train
bbh,703,train
bbh,709,train
bbh,682,train
bbh,209,train
bbh,560,train
bbh,652,train
bbh,626,train
bbh,138,train
bbh,740,train
bbh,704,train
bbh,203,train
bbh,14,train
bbh,409,train
bbh,924,train
bbh,438,train
bbh,933,train
bbh,871,train
bbh,673,train
bbh,1060,train
bbh,225,train
bbh,201,train
bbh,146,train
bbh,1074,train
bbh,804,train
bbh,208,train
bbh,623,train
bbh,903,train
bbh,700,train
bbh,175,train
bbh,183,train
bbh,672,train
bbh,61,train
bbh,482,train
bbh,1024,train
bbh,230,train
bbh,630,train
bbh,323,train
bbh,52,train
bbh,902,train
bbh,654,train
bbh,224,train
bbh,472,train
bbh,389,train
bbh,63,train
bbh,622,train
bbh,587,train
bbh,545,train
bbh,252,train
bbh,468,train
bbh,119,train
bbh,911,train
bbh,926,train
bbh,728,train
bbh,394,train
bbh,877,train
bbh,274,train
bbh,445,train
bbh,363,train
bbh,866,train
bbh,698,train
bbh,603,train
bbh,167,train
bbh,644,train
bbh,246,train
bbh,1026,train
bbh,922,train
bbh,583,train
bbh,1068,train
bbh,864,train
bbh,83,train
bbh,803,train
bbh,772,train
bbh,919,train
bbh,818,train
bbh,786,train
bbh,244,train
bbh,340,train
bbh,901,train
bbh,898,train
bbh,446,train
bbh,861,train
bbh,165,train
bbh,691,train
bbh,322,train
bbh,1041,train
bbh,844,train
bbh,1038,train
bbh,91,train
bbh,1076,train
bbh,386,train
bbh,848,train
bbh,643,train
bbh,418,train
bbh,188,train
bbh,1070,train
bbh,160,train
bbh,125,train
bbh,436,train
bbh,935,train
bbh,253,train
bbh,191,train
bbh,408,train
bbh,1001,train
bbh,593,train
bbh,1072,train
bbh,249,train
bbh,1066,train
bbh,291,train
bbh,70,train
bbh,257,train
bbh,470,train
bbh,51,train
bbh,306,train
bbh,714,train
bbh,128,train
bbh,701,train
bbh,942,train
bbh,9,train
bbh,221,train
bbh,863,train
bbh,31,train
bbh,797,train
bbh,258,train
bbh,281,train
bbh,850,train
bbh,227,train
bbh,234,train
bbh,510,train
bbh,762,train
bbh,994,train
bbh,653,train
bbh,419,train
bbh,158,train
bbh,943,train
bbh,851,train
bbh,103,train
bbh,809,train
bbh,34,train
bbh,217,train
bbh,422,train
bbh,285,train
bbh,589,train
bbh,235,train
bbh,508,train
bbh,530,train
bbh,390,train
bbh,960,train
bbh,952,train
bbh,799,train
bbh,135,train
bbh,1013,train
bbh,1067,train
bbh,631,train
bbh,789,train
bbh,725,train
bbh,79,train
bbh,199,train
bbh,986,train
bbh,205,train
bbh,331,train
bbh,451,train
bbh,277,train
bbh,953,train
bbh,49,train
bbh,835,train
bbh,142,train
bbh,28,train
bbh,559,train
bbh,294,train
bbh,491,train
bbh,832,train
bbh,554,train
bbh,404,train
bbh,828,train
bbh,169,train
bbh,89,train
bbh,466,train
bbh,136,train
bbh,578,train
bbh,269,train
bbh,1023,train
bbh,854,train
bbh,373,train
bbh,488,train
bbh,637,train
bbh,984,train
bbh,399,train
bbh,604,train
bbh,112,train
bbh,542,train
bbh,176,train
bbh,308,train
bbh,526,train
bbh,551,train
bbh,642,train
bbh,671,train
bbh,237,train
bbh,479,train
bbh,886,train
bbh,517,train
bbh,944,train
bbh,859,train
bbh,581,train
bbh,415,train
bbh,749,train
bbh,380,train
bbh,963,train
bbh,815,train
bbh,579,train
bbh,1064,train
bbh,64,train
bbh,959,train
bbh,1015,train
bbh,557,train
bbh,214,train
bbh,870,train
bbh,101,train
bbh,881,train
bbh,116,train
bbh,837,train
bbh,385,train
bbh,905,train
bbh,424,train
bbh,518,train
bbh,699,train
bbh,223,train
bbh,486,train
bbh,97,train
bbh,532,train
bbh,137,train
bbh,503,train
bbh,437,train
bbh,529,train
bbh,84,train
bbh,780,train
bbh,310,train
bbh,348,train
bbh,846,train
bbh,398,train
bbh,100,train
bbh,1016,train
bbh,982,train
bbh,618,train
bbh,108,train
bbh,194,train
bbh,298,train
bbh,776,train
bbh,667,train
bbh,16,train
bbh,852,train
bbh,287,train
bbh,493,train
bbh,251,train
bbh,433,train
bbh,198,train
bbh,562,train
bbh,651,train
bbh,775,train
bbh,839,train
bbh,690,train
bbh,544,train
bbh,857,train
bbh,93,train
bbh,1050,train
bbh,256,train
bbh,759,train
bbh,502,train
bbh,296,train
bbh,219,train
bbh,27,train
bbh,660,train
bbh,336,train
bbh,117,train
bbh,304,train
bbh,313,train
bbh,747,train
bbh,711,train
bbh,947,train
bbh,1005,train
bbh,107,train
bbh,556,train
bbh,354,train
bbh,580,train
bbh,679,train
bbh,187,train
bbh,207,train
bbh,732,train
bbh,159,train
bbh,708,train
bbh,456,train
bbh,1053,train
bbh,236,train
bbh,990,train
bbh,706,train
bbh,506,val
bbh,657,val
bbh,427,val
bbh,316,val
bbh,85,val
bbh,299,val
bbh,899,val
bbh,388,val
bbh,309,val
bbh,639,val
bbh,843,val
bbh,838,val
bbh,179,val
bbh,600,val
bbh,541,val
bbh,80,val
bbh,968,val
bbh,536,val
bbh,880,val
bbh,678,val
bbh,364,val
bbh,204,val
bbh,934,val
bbh,181,val
bbh,434,val
bbh,5,val
bbh,164,val
bbh,720,val
bbh,110,val
bbh,7,val
bbh,305,val
bbh,193,val
bbh,983,val
bbh,761,val
bbh,324,val
bbh,272,val
bbh,782,val
bbh,1057,val
bbh,1073,val
bbh,535,val
bbh,634,val
bbh,937,val
bbh,115,val
bbh,958,val
bbh,932,val
bbh,283,val
bbh,273,val
bbh,407,val
bbh,1033,val
bbh,656,val
bbh,1042,val
bbh,888,val
bbh,598,val
bbh,624,val
bbh,463,val
bbh,464,val
bbh,375,val
bbh,96,val
bbh,849,val
bbh,796,val
bbh,819,val
bbh,62,val
bbh,469,val
bbh,471,val
bbh,452,val
bbh,417,val
bbh,862,val
bbh,1012,val
bbh,339,val
bbh,347,val
bbh,949,val
bbh,1080,val
bbh,280,val
bbh,681,val
bbh,614,val
bbh,37,val
bbh,88,val
bbh,300,val
bbh,429,val
bbh,172,val
bbh,391,val
bbh,883,val
bbh,428,val
bbh,512,val
bbh,965,val
bbh,811,val
bbh,498,val
bbh,1029,val
bbh,371,val
bbh,75,val
bbh,30,val
bbh,596,val
bbh,50,val
bbh,610,val
bbh,69,val
bbh,10,val
bbh,1055,val
bbh,650,val
bbh,358,val
bbh,674,val
bbh,453,val
bbh,908,val
bbh,412,val
bbh,218,val
bbh,920,val
bbh,155,val
bbh,584,val
bbh,325,val
bbh,621,val
bbh,914,val
bbh,841,val
bbh,293,val
bbh,558,val
bbh,58,val
bbh,726,val
bbh,297,val
bbh,719,val
bbh,495,val
bbh,758,val
bbh,824,val
bbh,173,val
bbh,576,val
bbh,647,val
bbh,425,val
bbh,1010,val
bbh,461,val
bbh,233,val
bbh,794,val
bbh,795,val
bbh,921,val
bbh,496,val
bbh,669,val
bbh,12,val
bbh,537,val
bbh,1077,val
bbh,597,val
bbh,763,val
bbh,552,val
bbh,565,val
bbh,185,val
bbh,145,val
bbh,335,val
bbh,989,val
bbh,333,val
bbh,259,val
bbh,791,val
bbh,874,val
bbh,524,val
bbh,196,val
bbh,930,val
bbh,981,val
bbh,890,val
bbh,99,val
bbh,969,val
bbh,707,val
bbh,1006,val
bbh,151,val
bbh,401,val
bbh,627,val
bbh,4,val
bbh,662,val
bbh,777,val
bbh,875,val
bbh,613,val
bbh,129,val
bbh,765,val
bbh,635,val
bbh,406,val
bbh,534,val
bbh,885,val
bbh,523,val
bbh,383,val
bbh,661,val
bbh,255,val
bbh,1028,val
bbh,995,val
bbh,360,val
bbh,745,val
bbh,514,val
bbh,180,val
bbh,771,val
bbh,162,val
bbh,564,val
bbh,98,val
bbh,247,val
bbh,602,val
bbh,927,val
bbh,57,val
bbh,290,val
bbh,264,val
bbh,197,val
bbh,467,val
bbh,19,val
bbh,444,val
bbh,716,val
bbh,805,val
bbh,311,val
bbh,606,val
bbh,500,val
bbh,737,val
bbh,895,val
bbh,243,val
bbh,1043,val
bbh,56,val
bbh,1007,val
bbh,105,val
bbh,268,val
bbh,516,val
bbh,1031,val
bbh,813,val
bbh,140,val
bbh,231,val
bbh,787,val
bbh,487,val
bbh,276,val
bbh,489,val
bbh,538,test
bbh,884,test
bbh,770,test
bbh,586,test
bbh,585,test
bbh,670,test
bbh,260,test
bbh,450,test
bbh,1003,test
bbh,951,test
bbh,566,test
bbh,743,test
bbh,82,test
bbh,279,test
bbh,612,test
bbh,882,test
bbh,1061,test
bbh,326,test
bbh,816,test
bbh,823,test
bbh,807,test
bbh,915,test
bbh,962,test
bbh,1049,test
bbh,548,test
bbh,798,test
bbh,126,test
bbh,81,test
bbh,226,test
bbh,481,test
bbh,1048,test
bbh,457,test
bbh,904,test
bbh,766,test
bbh,540,test
bbh,505,test
bbh,267,test
bbh,43,test
bbh,368,test
bbh,73,test
bbh,620,test
bbh,521,test
bbh,222,test
bbh,174,test
bbh,157,test
bbh,722,test
bbh,312,test
bbh,750,test
bbh,869,test
bbh,1027,test
bbh,853,test
bbh,410,test
bbh,561,test
bbh,792,test
bbh,860,test
bbh,856,test
bbh,21,test
bbh,36,test
bbh,416,test
bbh,555,test
bbh,327,test
bbh,778,test
bbh,636,test
bbh,153,test
bbh,432,test
bbh,599,test
bbh,527,test
bbh,955,test
bbh,668,test
bbh,241,test
bbh,923,test
bbh,601,test
bbh,13,test
bbh,733,test
bbh,931,test
bbh,525,test
bbh,143,test
bbh,53,test
bbh,820,test
bbh,278,test
bbh,282,test
bbh,124,test
bbh,568,test
bbh,774,test
bbh,896,test
bbh,964,test
bbh,831,test
bbh,659,test
bbh,825,test
bbh,840,test
bbh,90,test
bbh,640,test
bbh,842,test
bbh,948,test
bbh,40,test
bbh,261,test
bbh,127,test
bbh,170,test
bbh,29,test
bbh,448,test
bbh,367,test
bbh,941,test
bbh,629,test
bbh,595,test
bbh,254,test
bbh,891,test
bbh,141,test
bbh,738,test
bbh,696,test
bbh,616,test
bbh,42,test
bbh,447,test
bbh,741,test
bbh,149,test
bbh,582,test
bbh,378,test
bbh,588,test
bbh,906,test
bbh,553,test
bbh,632,test
bbh,118,test
bbh,511,test
bbh,346,test
bbh,343,test
bbh,993,test
bbh,65,test
bbh,956,test
bbh,567,test
bbh,171,test
bbh,263,test
bbh,764,test
bbh,265,test
bbh,499,test
bbh,686,test
bbh,834,test
bbh,909,test
bbh,1025,test
bbh,563,test
bbh,87,test
bbh,710,test
bbh,967,test
bbh,974,test
bbh,773,test
bbh,1051,test
bbh,817,test
bbh,442,test
bbh,867,test
bbh,455,test
bbh,751,test
bbh,303,test
bbh,917,test
bbh,611,test
bbh,577,test
bbh,800,test
bbh,441,test
bbh,440,test
bbh,307,test
bbh,945,test
bbh,664,test
bbh,292,test
bbh,384,test
bbh,781,test
bbh,266,test
bbh,999,test
bbh,480,test
bbh,897,test
bbh,574,test
bbh,757,test
bbh,400,test
bbh,22,test
bbh,1020,test
bbh,361,test
bbh,32,test
bbh,687,test
bbh,746,test
bbh,1054,test
bbh,147,test
bbh,1046,test
bbh,55,test
bbh,680,test
bbh,275,test
bbh,939,test
bbh,549,test
bbh,615,test
bbh,210,test
bbh,971,test
bbh,494,test
bbh,211,test
bbh,1034,test
bbh,465,test
bbh,991,test
bbh,330,test
bbh,783,test
bbh,717,test
bbh,547,test
bbh,1047,test
bbh,405,test
bbh,357,test
bbh,161,test
bbh,676,test
bbh,785,test
bbh,940,test
bbh,365,test
bbh,397,test
bbh,374,test
bbh,449,test
bbh,163,test
bbh,633,test
bbh,220,test
bbh,352,test
bbh,790,test
bbh,688,test
bbh,665,test
bbh,3,test
bbh,60,test
bbh,925,test
finqa,1086,train
finqa,495,train
finqa,232,train
finqa,776,train
finqa,74,train
finqa,462,train
finqa,564,train
finqa,322,train
finqa,63,train
finqa,704,train
finqa,134,train
finqa,239,train
finqa,435,train
finqa,1110,train
finqa,332,train
finqa,705,train
finqa,637,train
finqa,956,train
finqa,45,train
finqa,53,train
finqa,671,train
finqa,1126,train
finqa,961,train
finqa,706,train
finqa,638,train
finqa,75,train
finqa,900,train
finqa,613,train
finqa,416,train
finqa,917,train
finqa,357,train
finqa,10,train
finqa,830,train
finqa,1041,train
finqa,725,train
finqa,446,train
finqa,886,train
finqa,1133,train
finqa,115,train
finqa,777,train
finqa,1068,train
finqa,960,train
finqa,647,train
finqa,1012,train
finqa,824,train
finqa,12,train
finqa,552,train
finqa,458,train
finqa,601,train
finqa,838,train
finqa,341,train
finqa,368,train
finqa,122,train
finqa,760,train
finqa,619,train
finqa,469,train
finqa,744,train
finqa,905,train
finqa,788,train
finqa,474,train
finqa,842,train
finqa,454,train
finqa,1045,train
finqa,803,train
finqa,190,train
finqa,453,train
finqa,592,train
finqa,429,train
finqa,740,train
finqa,388,train
finqa,175,train
finqa,909,train
finqa,681,train
finqa,450,train
finqa,786,train
finqa,655,train
finqa,711,train
finqa,985,train
finqa,85,train
finqa,1129,train
finqa,910,train
finqa,894,train
finqa,384,train
finqa,295,train
finqa,713,train
finqa,1073,train
finqa,464,train
finqa,378,train
finqa,164,train
finqa,1128,train
finqa,206,train
finqa,867,train
finqa,855,train
finqa,1111,train
finqa,228,train
finqa,1046,train
finqa,709,train
finqa,73,train
finqa,178,train
finqa,1139,train
finqa,387,train
finqa,331,train
finqa,608,train
finqa,871,train
finqa,734,train
finqa,614,train
finqa,821,train
finqa,656,train
finqa,520,train
finqa,403,train
finqa,1023,train
finqa,720,train
finqa,44,train
finqa,572,train
finqa,866,train
finqa,1004,train
finqa,321,train
finqa,410,train
finqa,992,train
finqa,1143,train
finqa,56,train
finqa,412,train
finqa,343,train
finqa,240,train
finqa,1064,train
finqa,371,train
finqa,13,train
finqa,701,train
finqa,540,train
finqa,698,train
finqa,267,train
finqa,277,train
finqa,307,train
finqa,24,train
finqa,571,train
finqa,903,train
finqa,1021,train
finqa,728,train
finqa,154,train
finqa,541,train
finqa,884,train
finqa,220,train
finqa,880,train
finqa,1136,train
finqa,1109,train
finqa,100,train
finqa,975,train
finqa,680,train
finqa,915,train
finqa,489,train
finqa,109,train
finqa,329,train
finqa,38,train
finqa,932,train
finqa,77,train
finqa,549,train
finqa,424,train
finqa,186,train
finqa,997,train
finqa,1072,train
finqa,222,train
finqa,872,train
finqa,116,train
finqa,829,train
finqa,757,train
finqa,379,train
finqa,994,train
finqa,667,train
finqa,596,train
finqa,1140,train
finqa,661,train
finqa,816,train
finqa,224,train
finqa,171,train
finqa,486,train
finqa,672,train
finqa,574,train
finqa,789,train
finqa,950,train
finqa,1033,train
finqa,579,train
finqa,858,train
finqa,282,train
finqa,1113,train
finqa,1022,train
finqa,512,train
finqa,408,train
finqa,177,train
finqa,835,train
finqa,58,train
finqa,822,train
finqa,493,train
finqa,939,train
finqa,306,train
finqa,299,train
finqa,427,train
finqa,999,train
finqa,813,train
finqa,42,train
finqa,133,train
finqa,869,train
finqa,124,train
finqa,902,train
finqa,1,train
finqa,815,train
finqa,922,train
finqa,1047,train
finqa,779,train
finqa,523,train
finqa,719,train
finqa,763,train
finqa,471,train
finqa,216,train
finqa,1016,train
finqa,652,train
finqa,98,train
finqa,491,train
finqa,1035,train
finqa,1034,train
finqa,60,train
finqa,758,train
finqa,529,train
finqa,953,train
finqa,669,train
finqa,505,train
finqa,312,train
finqa,892,train
finqa,274,train
finqa,548,train
finqa,285,train
finqa,120,train
finqa,797,train
finqa,509,train
finqa,413,train
finqa,557,train
finqa,35,train
finqa,958,train
finqa,266,train
finqa,316,train
finqa,679,train
finqa,456,train
finqa,1036,train
finqa,1056,train
finqa,421,train
finqa,846,train
finqa,581,train
finqa,141,train
finqa,80,train
finqa,372,train
finqa,113,train
finqa,442,train
finqa,189,train
finqa,584,train
finqa,968,train
finqa,591,train
finqa,390,train
finqa,796,train
finqa,626,train
finqa,366,train
finqa,687,train
finqa,207,train
finqa,559,train
finqa,411,train
finqa,1079,train
finqa,480,train
finqa,1107,train
finqa,257,train
finqa,139,train
finqa,1006,train
finqa,840,train
finqa,256,train
finqa,611,train
finqa,82,train
finqa,911,train
finqa,308,train
finqa,635,train
finqa,575,train
finqa,473,train
finqa,183,train
finqa,185,train
finqa,152,train
finqa,962,train
finqa,94,train
finqa,586,train
finqa,163,train
finqa,1145,train
finqa,954,train
finqa,323,train
finqa,6,train
finqa,978,train
finqa,487,train
finqa,248,train
finqa,898,train
finqa,47,train
finqa,72,train
finqa,761,train
finqa,121,train
finqa,1061,train
finqa,33,train
finqa,853,train
finqa,688,train
finqa,226,train
finqa,392,train
finqa,125,train
finqa,1024,train
finqa,313,train
finqa,140,train
finqa,759,train
finqa,108,train
finqa,1053,train
finqa,39,train
finqa,50,train
finqa,641,train
finqa,918,train
finqa,516,train
finqa,772,train
finqa,792,train
finqa,7,train
finqa,643,train
finqa,708,train
finqa,649,train
finqa,1007,train
finqa,298,train
finqa,639,train
finqa,640,train
finqa,747,train
finqa,170,train
finqa,784,train
finqa,184,train
finqa,382,train
finqa,969,train
finqa,674,train
finqa,65,train
finqa,595,train
finqa,1117,train
finqa,949,train
finqa,919,train
finqa,717,train
finqa,479,train
finqa,756,train
finqa,561,train
finqa,854,train
finqa,155,train
finqa,533,train
finqa,465,train
finqa,521,train
finqa,906,train
finqa,794,train
finqa,16,train
finqa,925,train
finqa,833,train
finqa,326,train
finqa,1135,train
finqa,896,train
finqa,646,train
finqa,532,train
finqa,535,train
finqa,376,train
finqa,490,train
finqa,181,train
finqa,771,train
finqa,660,train
finqa,942,train
finqa,921,train
finqa,753,train
finqa,250,train
finqa,621,train
finqa,272,train
finqa,162,train
finqa,923,train
finqa,261,train
finqa,439,train
finqa,888,train
finqa,434,train
finqa,1083,train
finqa,773,train
finqa,1001,train
finqa,580,train
finqa,492,train
finqa,678,train
finqa,593,train
finqa,166,train
finqa,311,train
finqa,627,train
finqa,127,train
finqa,605,train
finqa,690,train
finqa,878,train
finqa,208,train
finqa,1005,train
finqa,425,train
finqa,560,train
finqa,952,train
finqa,623,train
finqa,633,train
finqa,692,train
finqa,327,train
finqa,718,train
finqa,934,train
finqa,517,train
finqa,732,train
finqa,48,train
finqa,989,train
finqa,702,train
finqa,1087,train
finqa,156,train
finqa,536,train
finqa,70,train
finqa,881,train
finqa,361,train
finqa,1116,train
finqa,1025,train
finqa,700,train
finqa,344,train
finqa,161,train
finqa,28,train
finqa,66,train
finqa,287,train
finqa,1069,train
finqa,996,train
finqa,289,train
finqa,650,train
finqa,1029,train
finqa,126,train
finqa,258,train
finqa,105,train
finqa,422,train
finqa,528,train
finqa,510,train
finqa,817,train
finqa,1002,train
finqa,88,train
finqa,485,train
finqa,632,train
finqa,697,train
finqa,628,train
finqa,916,train
finqa,806,train
finqa,812,train
finqa,550,train
finqa,848,train
finqa,223,train
finqa,167,train
finqa,43,train
finqa,229,train
finqa,653,train
finqa,1020,train
finqa,145,train
finqa,729,train
finqa,18,train
finqa,451,train
finqa,374,train
finqa,955,train
finqa,87,train
finqa,278,train
finqa,590,train
finqa,839,train
finqa,293,train
finqa,46,train
finqa,123,train
finqa,769,train
finqa,89,train
finqa,84,train
finqa,150,train
finqa,271,train
finqa,524,train
finqa,577,train
finqa,504,train
finqa,215,train
finqa,238,train
finqa,205,train
finqa,675,train
finqa,920,train
finqa,795,train
finqa,963,train
finqa,1092,train
finqa,767,train
finqa,893,train
finqa,381,train
finqa,877,train
finqa,1030,train
finqa,827,train
finqa,342,train
finqa,30,train
finqa,118,train
finqa,414,train
finqa,363,train
finqa,1051,train
finqa,180,train
finqa,1040,train
finqa,1052,train
finqa,21,train
finqa,945,train
finqa,984,train
finqa,762,train
finqa,703,train
finqa,545,train
finqa,383,train
finqa,233,train
finqa,722,train
finqa,328,train
finqa,723,train
finqa,79,train
finqa,242,train
finqa,1044,train
finqa,192,train
finqa,496,train
finqa,790,train
finqa,234,train
finqa,476,train
finqa,599,train
finqa,68,train
finqa,237,train
finqa,691,train
finqa,644,train
finqa,36,train
finqa,715,train
finqa,131,train
finqa,1048,train
finqa,598,train
finqa,764,train
finqa,585,train
finqa,385,train
finqa,315,train
finqa,845,train
finqa,1122,train
finqa,895,train
finqa,820,train
finqa,594,train
finqa,67,train
finqa,987,train
finqa,751,train
finqa,1042,train
finqa,300,train
finqa,1065,train
finqa,1050,train
finqa,428,train
finqa,514,train
finqa,1105,train
finqa,83,train
finqa,389,train
finqa,358,train
finqa,602,train
finqa,696,train
finqa,253,train
finqa,864,train
finqa,265,train
finqa,217,train
finqa,1121,train
finqa,136,train
finqa,147,train
finqa,859,train
finqa,279,train
finqa,179,train
finqa,114,train
finqa,291,train
finqa,937,train
finqa,314,train
finqa,609,train
finqa,104,train
finqa,1060,train
finqa,260,train
finqa,193,train
finqa,742,train
finqa,364,train
finqa,1018,train
finqa,34,train
finqa,398,train
finqa,106,train
finqa,11,train
finqa,199,train
finqa,391,train
finqa,1008,train
finqa,477,train
finqa,929,train
finqa,677,train
finqa,351,train
finqa,481,train
finqa,568,train
finqa,14,train
finqa,433,train
finqa,478,train
finqa,808,train
finqa,1011,train
finqa,1062,train
finqa,578,train
finqa,933,train
finqa,810,train
finqa,515,train
finqa,1010,train
finqa,807,train
finqa,409,train
finqa,501,train
finqa,959,train
finqa,71,train
finqa,1074,train
finqa,283,train
finqa,832,train
finqa,974,train
finqa,254,train
finqa,1031,train
finqa,318,train
finqa,86,train
finqa,547,train
finqa,255,train
finqa,168,train
finqa,770,train
finqa,117,train
finqa,752,train
finqa,936,train
finqa,406,train
finqa,1101,train
finqa,543,train
finqa,525,train
finqa,377,train
finqa,755,train
finqa,791,train
finqa,76,train
finqa,566,train
finqa,554,train
finqa,497,train
finqa,995,train
finqa,851,train
finqa,221,train
finqa,324,train
finqa,1049,train
finqa,17,train
finqa,606,train
finqa,546,train
finqa,818,train
finqa,99,train
finqa,197,train
finqa,684,train
finqa,415,train
finqa,1082,train
finqa,158,train
finqa,645,train
finqa,1146,train
finqa,64,train
finqa,320,train
finqa,804,train
finqa,1106,train
finqa,144,train
finqa,142,train
finqa,19,train
finqa,1019,train
finqa,107,train
