seed,algorithm,feedback_mode,stopped,T_stop,exact_oracle_match,stable_train,blocking_pairs_train,resolved_fraction_at_stop,test_mean_score,test_welfare,normalized_test_welfare,n_checks,final_matching,unresolved_critical_final,unresolved_noncritical_final,T_first_oracle_hit,oracle_occupancy,longest_oracle_streak,num_matching_changes,T_first_train_stable,best_test_welfare,oracle_occupancy_after_10k,oracle_occupancy_after_25k,oracle_occupancy_after_50k,oracle_occupancy_after_100k,false_certification,certify_profiles_total,certify_seconds_total,n_certifications,last_certify_profiles_checked,last_certify_search_complete
10,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.9995200383969283,4164,3,48,2.7284213190639446,1.0,1.0,1.0,1.0,False,617,0.02595233917236328,186,2,True
11,matching_id,bt,False,100000,False,False,1,0.9583333333333334,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,168,0.008879289656827454,30,8,168,2.7284213190639446,0.0,0.0,0.0,0.0,False,13781,0.16317049972712994,350,2,True
12,matching_id,bt,False,100000,False,False,1,0.9166666666666666,0.6548227210703339,2.6192908842813356,0.801343046187361,4167,finqa=Fin-R1|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Qwen2.5-Coder-7B-Instruct|medqa=Llama-3.1-8B-UltraMedical,,,240,0.30597552195824335,392,81,240,2.7284213190639446,0.2476672887230072,0.26263595649392196,0.3498080614203455,0.0,False,712,0.02873641485348344,219,2,True
13,matching_id,bt,False,100000,True,True,0,0.9375,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,120,0.6352291816654667,2214,27,120,2.7284213190639446,0.6667555318581712,0.700255918106206,0.550383877159309,1.0,False,1659,0.03949150303378701,215,2,True
14,matching_id,bt,False,100000,True,True,0,0.9166666666666666,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,120,0.9952003839692825,4131,8,120,2.7284213190639446,1.0,1.0,1.0,1.0,False,950,0.03426303714513779,220,2,True
15,matching_id,bt,False,100000,True,True,0,0.9375,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,2520,0.9018478521718263,3725,14,2520,2.7284213190639446,0.9970674486803519,1.0,1.0,1.0,False,605,0.030312035232782364,230,2,True
16,matching_id,bt,False,100000,True,True,0,0.9375,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,72,0.6275497960163187,2610,8,72,2.7284213190639446,0.6960810450546521,0.8352527191298784,1.0,1.0,False,1127,0.03556358814239502,212,2,True
17,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,72,0.8257739380849533,1720,72,72,2.7284213190639446,0.8133830978405758,0.7760716570697377,0.7428023032629558,1.0,False,1106,0.04256844474002719,306,2,True
18,matching_id,bt,False,100000,True,True,0,0.9375,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,48,0.822174226061915,1831,33,48,2.7284213190639446,0.8061850173287124,0.8314139475367882,0.7471209213051824,1.0,False,1022,0.04854612937197089,267,2,True
19,matching_id,bt,False,100000,True,True,0,0.9583333333333334,0.6821053297659861,2.7284213190639446,1.0,4167,finqa=Qwen2.5-Coder-7B-Instruct|livecodebench=DeepSeek-R1-0528-Qwen3-8B|math500=Fin-R1|medqa=Llama-3.1-8B-UltraMedical,,,240,0.8732901367890569,1910,31,240,2.7284213190639446,0.920554518794988,0.9830454254638515,0.9793666026871402,1.0,False,979,0.038938330952078104,286,2,True
